sheet_name,demo_name,demo_slug,demo_status,match_how
11 Note Tongue Drum,11-note-tongue-drum,11 Note Tongue Drum,ACTIVE,exact_name
25 Rods -Bar Chime,32-rods-bar-chime,32 Rods - Bar Chime,ACTIVE,fuzzy_name:0.94
7 Chakra Morchang,7-chakra-morchang-set,7 Chakra Morchang Set,ACTIVE,sku
7 Chakras Copper Water Bottles,7-chakras-copper-water-bottles,7 Chakras Copper Water Bottles,ACTIVE,exact_name
7 Chakras Copper Water Bottles with Handle,7-chakras-copper-water-bottles-with-handle,7 Chakras Copper Water Bottles with Handle,ACTIVE,exact_name
7 Chakras Mystical Incense Sticks Set,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,ACTIVE,exact_name
7 Chakras Yoga Mats,7-chakras-yoga-mats,7 Chakras Yoga Mats,ACTIVE,exact_name
7-Key Kalimba Made from Coconut Shell - Painted & Plain,7-key-kalimba-made-from-coconut-shell-painted-plain,7-Key Kalimba Made from Coconut Shell - Painted & Plain,ACTIVE,exact_name
8 Keys Metallophone - with 1” & 1.5” key-widths,8-keys-metallophone-with-1-1-5-key-widths,8 Keys Metallophone - with 1” & 1.5” key-widths,ACTIVE,exact_name
9/10 Notes Handpan Drum - Handcrafted to Precision,9-10-notes-handpan-drum-handcrafted-to-precision,9/10 Notes Handpan Drum - Handcrafted to Precision,ACTIVE,exact_name
Angel Tuning Forks,angel-tuning-forks,Angel Tuning Forks,ACTIVE,exact_name
Artistically Designed Copper Bottles,artistically-designed-copper-bottles,Artistically Designed Copper Bottles,ACTIVE,exact_name
Asalato/Aslatau or Kashaka Shaker,asalato-aslatau-or-kashaka-shaker,Asalato/Aslatau or Kashaka Shaker,ACTIVE,exact_name
Ayurvedic Copper Bedroom Jar,ayurvedic-copper-bedroom-jar,Ayurvedic Copper Bedroom Jar,ACTIVE,exact_name
Bamboo Castanet,bamboo-castanet,Bamboo Castanet,ACTIVE,exact_name
Bamboo Jaw Harp,bamboo-jaw-harp,Bamboo Jaw Harp,ACTIVE,exact_name
Bamboo Rainstick,bamboo-rainstick,Bamboo Rainstick,DRAFT,exact_name
Belly Bowls,belly-bowls,Belly Bowls,ACTIVE,exact_name
Bendo Chimes,bendo-chimes,Bendo Chimes,ACTIVE,exact_name
Bendo Shaker,bendo-shaker,Bendo Shaker,ACTIVE,exact_name
Bird Flute,bird-flute,Bird Flute,ACTIVE,exact_name
Box Tanpura,box-tanpura,Box Tanpura,ACTIVE,exact_name
C&G Tuning Forks,c-g-tuning-forks,C&G Tuning Forks,ACTIVE,exact_name
Caxixi,caxixi,Caxixi,ACTIVE,exact_name
Classic Morchang,classic-morchang-set,Classic Morchang Set,ACTIVE,sku
Coconut Maracas Shakers,coconut-maracas-shakers,Coconut Maracas Shakers,ACTIVE,exact_name
Coconut Rattle,coconut-rattle,Coconut Rattle,ACTIVE,exact_name
Conscious Cards,conscious-cards,Conscious Cards,ACTIVE,exact_name
Copper Bottle Gift Set - 7 Chakra,copper-bottle-gift-set-7-chakra,Copper Bottle Gift Set - 7 Chakra,ACTIVE,exact_name
Crescent Zafu Cushion - Compact,crescent-zafu-cushion-compact,Crescent Zafu Cushion - Compact,ACTIVE,exact_name
Crescent Zafu Cushion - Wide,crescent-zafu-cushion-wide,Crescent Zafu Cushion - Wide,ACTIVE,exact_name
Crystal Bowl Bag,crystal-bowl-bag,Crystal Bowl Bag,ACTIVE,exact_name
Crystal Bowl with Handle,crystal-bowl-with-handle,Crystal Bowl with Handle,ACTIVE,exact_name
Crystal Bowls - Frosted white,crystal-bowls,Crystal Bowls,ACTIVE,sku
Crystal Bowls - Set of 7,crystal-bowls-set-of-7,Crystal Bowls - Set of 7,ACTIVE,exact_name
Crystal Pyramid,crystal-pyramid,Crystal Pyramid,ACTIVE,exact_name
Curved Copper Bottles,grooved-hammered-plain-copper-bottle,"Grooved, Hammered & Plain Copper Bottle",ACTIVE,sku
Djembe Drums,djembe-drums,Djembe Drums,ACTIVE,exact_name
Dotted Singing Bowl,dotted-singing-bowl,Dotted Singing Bowl,ACTIVE,exact_name
Dumru/Dumroo Indian Handmade Percussion Instrument,dumru-dumroo-indian-handmade-percussion-instrument,Dumru/Dumroo Indian Handmade Percussion Instrument,ACTIVE,exact_name
Eco-Friendly Neem Wood Toothbrush,eco-friendly-neem-wood-toothbrush,Eco-Friendly Neem Wood Toothbrush,ACTIVE,exact_name
