sku,product_slug,product_name,product_status,variant_status,sale,mrp
MI-TD-11N-B-6,11-note-tongue-drum,11 Note Tongue Drum,ACTIVE,ACTIVE,5850.0,6850.0
MI-TD-11N-B-8,11-note-tongue-drum,11 Note Tongue Drum,ACTIVE,ACTIVE,6750.0,7850.0
MI-TD-11N-W-6,11-note-tongue-drum,11 Note Tongue Drum,ACTIVE,ACTIVE,5850.0,6850.0
MI-TD-11N-W-8,11-note-tongue-drum,11 Note Tongue Drum,ACTIVE,ACTIVE,6750.0,7850.0
MI-BCH-32,32-rods-bar-chime,32 Rods - Bar Chime,ACTIVE,ACTIVE,5850.0,7605.0
REMOVED-0c1d9dba-woo-var-43493,7-chakras-gold-copper-bottle,7 Chakras Gold - Copper Bottle,ACTIVE,INACTIVE,1245.0,1619.0
REMOVED-3b4a70c5-woo-var-5784,7-chakras-gold-copper-bottle,7 Chakras Gold - Copper Bottle,ACTIVE,INACTIVE,925.0,1203.0
REMOVED-4b5ed50e-woo-var-5785,7-chakras-gold-copper-bottle,7 Chakras Gold - Copper Bottle,ACTIVE,INACTIVE,995.0,1294.0
REMOVED-b79fa3da-woo-var-43494,7-chakras-gold-copper-bottle,7 Chakras Gold - Copper Bottle,ACTIVE,INACTIVE,1345.0,1749.0
REMOVED-02a68bc8-woo-var-8475,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,1790.0,2450.0
REMOVED-03abb8f8-woo-var-8440,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-168143f8-woo-var-8429,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-1ea58ac9-woo-var-8426,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-1f013213-woo-var-8474,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,1790.0,2450.0
REMOVED-2d84841a-woo-var-8434,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-2fe3d132-woo-var-8476,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,1790.0,2450.0
REMOVED-4008d8cb-woo-var-8439,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-49f0e821-woo-var-8427,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
REMOVED-4c960055-woo-var-8431,7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,ACTIVE,INACTIVE,2190.0,3050.0
