id,slug,name,status,product_type,sku,hsn,tax_class,desc_len,short_len,video,thumb_id,gallery,upsell,crosssell,shipping_meta_count,accordion_meta_count,video_meta_count,article_meta_count,pair_meta_count
46017,,Yoga Mats Superior & Moderate,draft,variable,,,gst-5,294,945,field_5fec24efe5459,8514,,a:4:{i:0;i:42648;i:1;i:42582;i:2;i:6530;i:3;i:6689;},,66,44,2,2,9
42373,11-note-tongue-drum,11 Note Tongue Drum,publish,variable,,,gst12,0,571,field_5fec24efe5459,42380,"42376,42380,42387,42388,42386",,,66,44,2,2,2
42389,32-bar-rod-chime,25 Rods - Bar Chime,publish,simple,MI-BCH-32,,gst18,0,589,field_5fec24efe5459,50342,,a:4:{i:0;i:8762;i:1;i:45197;i:2;i:7450;i:3;i:10345;},,154,44,2,2,3
7491,6-3-inches-mini-tongue-drum,Mini Tongue Drum,publish,variable,,,gst12,0,763,field_5fec24efe5459,7505,"7497,7507,7501,7503,7505,7499,7498,7502,7504,7500,7506",a:4:{i:0;i:42373;i:1;i:8058;i:2;i:7435;i:3;i:10345;},,66,44,2,2,3
48727,7-chakra-morchang-set,7 Chakra Morchang Set,publish,variable,,,,1285,1286,field_5fec24efe5459,48835,,,,154,44,2,2,2
44503,7-chakras-copper-water-bottles-with-handle,7 Chakras Copper Water Bottles with Handle,publish,variable,,,gst-5,0,698,field_5fec24efe5459,44515,"6881,6880,5488,6310,6309,6882,6883,6340,6342,6343",,,66,44,2,2,2
7687,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,publish,variable,,,gst-5,0,1143,field_5fec24efe5459,10117,"10106,10107,10108,10109,10110,10111,10112,10113,10114,10115,10116,10117,10118,10119,10120,10121,10122,10123,10124",a:4:{i:0;i:6892;i:1;i:42674;i:2;i:6519;i:3;i:6507;},,66,44,2,2,3
46141,7-chakras-yoga-mats,7 Chakras Yoga Mats,publish,variable,,,gst-5,294,983,field_5fec24efe5459,46214,,a:4:{i:0;i:42648;i:1;i:42582;i:2;i:6530;i:3;i:6689;},,66,44,2,2,9
42332,8-keys-metallophone,8 Keys Metallophone - with 1” & 1.5” key-widths,publish,variable,,,gst12,0,854,field_5fec24efe5459,42336,"42333,42334,42335,42336,42337",a:4:{i:0;i:42340;i:1;i:7484;i:2;i:7435;i:3;i:10345;},a:3:{i:0;i:42332;i:1;i:7435;i:2;i:10345;},66,44,2,2,4
42340,8-keys-wooden-xylophone,8 Keys Wooden Xylophone,publish,simple,,,gst12,0,837,field_5fec24efe5459,42344,"42341,42342,42343,42344",a:4:{i:0;i:42332;i:1;i:7484;i:2;i:45197;i:3;i:10345;},,66,44,2,2,3
8058,9-10-notes-handpan,9/10 Notes Handpan Drum - Handcrafted to Precision,publish,variable,MI-HP,,gst-zero-rate,69,560,field_5fec24efe5459,10333,"10328,10333,8073,8072,8071,8070,8066,8064,8065,8132,8133,8134,8135,8136",a:4:{i:0;i:43219;i:1;i:7887;i:2;i:7491;i:3;i:7293;},,168,44,2,2,9
46525,aluminium-22-steel-bars-chime,Aluminium 22 Steel Bars Chime,publish,simple,,,gst12,236,569,field_5fec24efe5459,46526,"46528,46527",,,10,44,2,2,2
48205,angel-tuning-forks,Angel Tuning Forks,publish,variable,,,gst18,555,555,field_5fec24efe5459,48206,,,,154,44,2,2,2
49596,ankh-sound-healing-instrument,Ankh Sound Healing Instrument,publish,variable,,,,156,842,field_5fec24efe5459,49872,,,,154,44,2,2,2
