id,parent_id,parent_slug,sku,status,title,thumb_id,video,attrs,regular_price,sale_price
5596,5038,neem-wood-combs,NWC-H,publish,Neem Wood Combs - Comb with Handle,5833,,attribute_pa_comb_type=comb-with-handle,215,165
5597,5038,neem-wood-combs,NWC-S,publish,Neem Wood Combs - Long Comb,5834,,attribute_pa_comb_type=long-comb,215,165
5598,5038,neem-wood-combs,NWC-P,publish,Neem Wood Combs - Small Comb,5100,,attribute_pa_comb_type=small-comb,176,135
5599,5038,neem-wood-combs,CO-NWC-S-H,publish,Neem Wood Combs - Combo 2,5139,,attribute_pa_comb_type=combo-2,273,210
5600,5038,neem-wood-combs,CO-NWC-S-P-H,publish,Neem Wood Combs - Combo 3,5925,,attribute_pa_comb_type=combo-3,377,290
7807,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 1, Ring",7815,,attribute_pa_packs=pack-of-1;attribute_type=Ring,189,145
7808,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 1, Straight",7817,,attribute_pa_packs=pack-of-1;attribute_type=Straight,215,165
7809,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 2, Ring",7814,,attribute_pa_packs=pack-of-2;attribute_type=Ring,306,235
7810,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 2, Straight",7818,,attribute_pa_packs=pack-of-2;attribute_type=Straight,345,265
7811,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 4, Ring",7813,,attribute_pa_packs=pack-of-4;attribute_type=Ring,449,345
7812,5042,copper-tongue-cleaner,,publish,"Copper Tongue Cleaner - Pack of 4, Straight",7816,,attribute_pa_packs=pack-of-4;attribute_type=Straight,514,395
5634,5459,copper-bottle-with-brush-true-happiness-lies-within,,publish,Happiness is Inside,5460,,attribute_pa_bottle-type=with-brush;attribute_size=1L,1749,1345
5635,5459,copper-bottle-with-brush-true-happiness-lies-within,,publish,Happiness is Inside,6630,,attribute_pa_bottle-type=without-brush;attribute_size=1L,1619,1245
44017,5459,copper-bottle-with-brush-true-happiness-lies-within,,publish,Happiness is Inside,5101,,attribute_pa_bottle-type=without-brush;attribute_size=500ml,1157,890
44018,5459,copper-bottle-with-brush-true-happiness-lies-within,,publish,Happiness is Inside,5460,,attribute_pa_bottle-type=with-brush;attribute_size=500ml,1281,985
5632,5466,copper-bottle-with-brush-tattvamasi,,publish,Tattvamasi-I am Infinite,5467,,attribute_pa_bottle-type=with-brush;attribute_size=1L,1749,1345
5633,5466,copper-bottle-with-brush-tattvamasi,,publish,Tattvamasi-I am Infinite,6628,,attribute_pa_bottle-type=without-brush;attribute_size=1L,1619,1245
44014,5466,copper-bottle-with-brush-tattvamasi,,publish,Tattvamasi-I am Infinite,6628,,attribute_pa_bottle-type=without-brush;attribute_size=500ml,1157,890
44015,5466,copper-bottle-with-brush-tattvamasi,,publish,Tattvamasi-I am Infinite,5467,,attribute_pa_bottle-type=with-brush;attribute_size=500ml,1281,985
43496,5489,copper-bottle-vintage-plain-curved,,publish,Curved Copper Bottles,6450,,attribute_cleaning-brush=With Brush;attribute_pa_bottle-type=gold,1559,1199
43497,5489,copper-bottle-vintage-plain-curved,,publish,Curved Copper Bottles,6452,,attribute_cleaning-brush=Without Brush;attribute_pa_bottle-type=gold,1429,1099
43498,5489,copper-bottle-vintage-plain-curved,,publish,Curved Copper Bottles,6456,,attribute_cleaning-brush=With Brush;attribute_pa_bottle-type=vintage,1559,1199
43499,5489,copper-bottle-vintage-plain-curved,,publish,Curved Copper Bottles,6460,,attribute_cleaning-brush=Without Brush;attribute_pa_bottle-type=vintage,1429,1099
5944,5495,copper-bottle-curved-vintage-hammered,,publish,Curved Hammered Copper Bottles,6480,,attribute_pa_bottle-type=vintage;attribute_pa_coconut-fiber-brush=with-brush,1559,1199
5945,5495,copper-bottle-curved-vintage-hammered,,publish,Curved Hammered Copper Bottles,6407,,attribute_pa_bottle-type=vintage;attribute_pa_coconut-fiber-brush=without-brush,1429,1099
5778,5663,copper-bottle-pink-noble-toughts,,publish,Pink & Positive,6409,,attribute_pa_bottle-type=without-brush;attribute_size=1L,1619,1245
5779,5663,copper-bottle-pink-noble-toughts,,publish,Pink & Positive,6486,,attribute_pa_bottle-type=with-brush;attribute_size=1L,1749,1345
44012,5663,copper-bottle-pink-noble-toughts,,publish,Pink & Positive,6409,,attribute_pa_bottle-type=without-brush;attribute_size=500ml,1157,890
44013,5663,copper-bottle-pink-noble-toughts,,publish,Pink & Positive,6486,,attribute_pa_bottle-type=with-brush;attribute_size=500ml,1281,985
5782,5669,copper-bottle-orange-light,,publish,Sunshine within Me,6487,,attribute_pa_bottle-type=with-brush;attribute_size=1L,1749,1345
5783,5669,copper-bottle-orange-light,,publish,Sunshine within Me,6410,,attribute_pa_bottle-type=without-brush;attribute_size=1L,1619,1245
