Sheet Product name,DB Product name,Sheet Variant name,DB Variant name,Sheet SKU,DB SKU,Match score,Match type,Notes
Conscious Cards,Conscious Cards,,,ME-CC,ME-CC,100,exact,All three fields match
Jala Neti Pot - Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml,Red,Red,YO-NP-R-185,YO-NP-R-185,100,exact,All three fields match
Jala Neti Pot - Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml,Blue,Blue,YO-NP-B-185,YO-NP-B-185,100,exact,All three fields match
Jala Neti Pot - Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml,Lemon Yellow,Lemon Yellow,YO-NP-LY-185,YO-NP-LY-185,100,exact,All three fields match
Jala Neti Pot - Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml,Mint Green,Mint Green,YO-NP-MG-185,YO-NP-MG-185,100,exact,All three fields match
Jala Neti Pot - Ceramic 185 ml,Jala Neti Pot - Ceramic 185 ml,White,White,YO-NP-W-185,YO-NP-W-185,100,exact,All three fields match
Tounge Cleaner,Tounge Cleaner,Straight / pack-of-1,pack-of-1 / Straight,TC-S-1,TC-S-1,100,exact,All three fields match
Tounge Cleaner,Tounge Cleaner,Straight / pack-of-2,pack-of-2 / Straight,TC-S-2,TC-S-2,100,exact,All three fields match
Tounge Cleaner,Tounge Cleaner,Straight / pack-of-4,pack-of-4 / Straight,TC-S-4,TC-S-4,100,exact,All three fields match
Stainless Steel Straws,Stainless Steel Straws,pack-of-2,pack-of-2,SSS-2,SSS-2,100,exact,All three fields match
Stainless Steel Straws,Stainless Steel Straws,pack-of-4,pack-of-4,SSS-4,SSS-4,100,exact,All three fields match
7 Chakras - Plain Copper Bottles,7 Chakras - Plain Copper Bottles,Plain / 500ml/ With Brush,500ml / With Brush / Plain,CB-7C-B-.5,CB-7C-B-.5,100,exact,All three fields match
7 Chakras - Plain Copper Bottles,7 Chakras - Plain Copper Bottles,Plain / 500ml/ Without Brush,500ml / Without Brush / Plain,CB-7C-.5,CB-7C-.5,100,exact,All three fields match
7 Chakras - Plain Copper Bottles,7 Chakras - Plain Copper Bottles,Plain / 1L / With Brush,With Brush / 1L / Plain,CB-7C-B,CB-7C-B,100,exact,All three fields match
7 Chakras - Plain Copper Bottles,7 Chakras - Plain Copper Bottles,Plain / 1L/ Without Brush,1L / Without Brush / Plain,CB-7C,CB-7C,100,exact,All three fields match
7 Chakras - Vintage Copper Bottles,7 Chakras - Vintage Copper Bottles,Vintage / 500ml/ With Brush,500ml / With Brush / Vintage,CB-7C-V-B-.5,CB-7C-V-B-.5,100,exact,All three fields match
7 Chakras - Vintage Copper Bottles,7 Chakras - Vintage Copper Bottles,Vintage/ 500ml/ Without Brush,Vintage / Without Brush / 500ml,CB-7C-V-.5,CB-7C-V-.5,100,exact,All three fields match
7 Chakras - Vintage Copper Bottles,7 Chakras - Vintage Copper Bottles,Vintage / 1L/ With Brush,With Brush / Vintage / 1L,CB-7C-V-B,CB-7C-V-B,100,exact,All three fields match
7 Chakras - Vintage Copper Bottles,7 Chakras - Vintage Copper Bottles,Vintage/  1L/ Without Brush,Vintage / 1L / Without Brush,CB-7C-V,CB-7C-V,100,exact,All three fields match
7 Chakras - Copper Bottles with Handle,7 Chakras - Copper Bottles with Handle,Plain / 1L / With Brush,With Brush / 1L / Plain,CB-7C-H-B,CB-7C-H-B,100,exact,All three fields match
7 Chakras - Copper Bottles with Handle,7 Chakras - Copper Bottles with Handle,Plain / 1L/ Without Brush,1L / Without Brush / Plain,CB-7C-H,CB-7C-H,100,exact,All three fields match
7 Chakras - Copper Bottles with Handle,7 Chakras - Copper Bottles with Handle,Vintage / 1L/ Without Brush,Vintage / 1L / Without Brush,CB-7C-V-H,CB-7C-V-H,100,exact,All three fields match
7 Chakras - Copper Bottles with Handle,7 Chakras - Copper Bottles with Handle,Vintage / 1L / With Brush,With Brush / Vintage / 1L,CB-7C-V-H-B,CB-7C-V-H-B,100,exact,All three fields match
Curved Copper Bottles,Curved Copper Bottles,gold / With Brush,gold / with-brush,CB-C-B,CB-C-B,100,exact,All three fields match
