Sheet Product name,DB Product name,Sheet Variant name,DB Variant name,Sheet SKU,DB SKU,Match score,Match type,Notes
Curved Diamond Groove Copper Bottle,"Grooved, Hammered & Plain Copper Bottle",copper / 1L / without-brush,Without Brush / Gold / Diamond Groove,CB-CDG,CB-CDG,71.8,sku_exact_text_diff,Product name differs; Variant name differs
Macrame Yoga Mat Straps,Macrame Yoga Mat Straps,Yellow,Orange,YO-MMS-O,YO-MMS-O,79.2,sku_exact_text_diff,Variant name differs
Round Yoga Bolster,Round Yoga Bolster,Rouge Pink,Rogue Pink,YO-BR-RD-RP,YO-BR-RD-RP,97.5,sku_exact_text_diff,Variant name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,6 in,6 in,MI-CB-C-6,MI-CB-C-6,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,7 in,7 in,MI-CB-C-7,MI-CB-C-7,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,8 in,8 in,MI-CB-C-8,MI-CB-C-8,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,9 in,9 in,MI-CB-C-9,MI-CB-C-9,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,10 in,10 in,MI-CB-C-10,MI-CB-C-10,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,11 in,11 in,MI-CB-C-11,MI-CB-C-11,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,12 in,12 in,MI-CB-C-12,MI-CB-C-12,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,13 in,13 in,MI-CB-C-13,MI-CB-C-13,98.5,sku_exact_text_diff,Product name differs
Crystal Bowls - Coloured,Crystal Bowls – Chakra Coloured,14 in,14 in,MI-CB-C-14,MI-CB-C-14,98.5,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,B Plate,B Plate,MI-GP-ET-B,MI-GP-ET-B,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,A Plate,A Plate,MI-GP-ET-A,MI-GP-ET-A,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,G Plate,G Plate,MI-GP-ET-G,MI-GP-ET-G,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,F Plate,F Plate,MI-GP-ET-F,MI-GP-ET-F,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,E Plate,E Plate,MI-GP-ET-E,MI-GP-ET-E,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,D Plate,D Plate,MI-GP-ET-D,MI-GP-ET-D,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,C Plate,C Plate,MI-GP-ET-C,MI-GP-ET-C,86.2,sku_exact_text_diff,Product name differs
Gong Plates/Shruti Plates Etched,Shruthi Thali/Gong Plates – Etched,Full Set,Full Set,MI-GP-ET-SET7,MI-GP-ET-SET7,86.2,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,18 in,18 in,MI-GO-CH-ET-18,MI-GO-CH-ET-18,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,20 in,20 in,MI-GO-CH-ET-20,MI-GO-CH-ET-20,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,22 in,22 in,MI-GO-CH-ET-22,MI-GO-CH-ET-22,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,24 in,24 in,MI-GO-CH-ET-24,MI-GO-CH-ET-24,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,28 in,28 in,MI-GO-CH-ET-28,MI-GO-CH-ET-28,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,32 in,32 in,MI-GO-CH-ET-32,MI-GO-CH-ET-32,98.9,sku_exact_text_diff,Product name differs
