sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku
Conscious Cards,,ME-CC,Conscious Cards,,ME-CC
Jala Neti Pot - Ceramic 185 ml,Red,YO-NP-R-185,Jala Neti Pot - Ceramic 185 ml,Red,YO-NP-R-185
Jala Neti Pot - Ceramic 185 ml,Blue,YO-NP-B-185,Jala Neti Pot - Ceramic 185 ml,Blue,YO-NP-B-185
Jala Neti Pot - Ceramic 185 ml,Lemon Yellow,YO-NP-LY-185,Jala Neti Pot - Ceramic 185 ml,Lemon Yellow,YO-NP-LY-185
Jala Neti Pot - Ceramic 185 ml,Mint Green,YO-NP-MG-185,Jala Neti Pot - Ceramic 185 ml,Mint Green,YO-NP-MG-185
Jala Neti Pot - Ceramic 185 ml,White,YO-NP-W-185,Jala Neti Pot - Ceramic 185 ml,White,YO-NP-W-185
Tounge Cleaner,Straight / pack-of-1,TC-S-1,Tounge Cleaner,pack-of-1 / Straight,TC-S-1
Tounge Cleaner,Straight / pack-of-2,TC-S-2,Tounge Cleaner,pack-of-2 / Straight,TC-S-2
Tounge Cleaner,Straight / pack-of-4,TC-S-4,Tounge Cleaner,pack-of-4 / Straight,TC-S-4
Stainless Steel Straws,pack-of-2,SSS-2,Stainless Steel Straws,pack-of-2,SSS-2
Stainless Steel Straws,pack-of-4,SSS-4,Stainless Steel Straws,pack-of-4,SSS-4
7 Chakras - Plain Copper Bottles,Plain / 500ml/ With Brush,CB-7C-B-.5,7 Chakras - Plain Copper Bottles,500ml / With Brush / Plain,CB-7C-B-.5
7 Chakras - Plain Copper Bottles,Plain / 500ml/ Without Brush,CB-7C-.5,7 Chakras - Plain Copper Bottles,500ml / Without Brush / Plain,CB-7C-.5
7 Chakras - Plain Copper Bottles,Plain / 1L / With Brush,CB-7C-B,7 Chakras - Plain Copper Bottles,With Brush / 1L / Plain,CB-7C-B
7 Chakras - Plain Copper Bottles,Plain / 1L/ Without Brush,CB-7C,7 Chakras - Plain Copper Bottles,1L / Without Brush / Plain,CB-7C
