sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku,mismatch_fields
Curved Copper Bottles,gold / With Brush,CB-C-B,Curved Copper Bottles,gold / with-brush,CB-C-B,variant_name
Curved Copper Bottles,gold / Without Brush,CB-C,Curved Copper Bottles,gold / without-brush,CB-C,variant_name
Curved Copper Bottles,vintage / With Brush,CB-C-V-B,Curved Copper Bottles,vintage / with-brush,CB-C-V-B,variant_name
Curved Copper Bottles,vintage / Without Brush,CB-C-V,Curved Copper Bottles,vintage / without-brush,CB-C-V,variant_name
Curved Diamond Groove Copper Bottle,copper / 1L / without-brush,CB-CDG,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Gold / Diamond Groove,CB-CDG,"product_name,variant_name"
Macrame Yoga Mat Straps,Yellow,YO-MMS-O,Macrame Yoga Mat Straps,Orange,YO-MMS-O,variant_name
Round Yoga Bolster,Rouge Pink,YO-BR-RD-RP,Round Yoga Bolster,Rogue Pink,YO-BR-RD-RP,variant_name
Crescent Zafu Cushion - Wide -Cotton,Rose Pink,Me-CZ-W-MB,Crescent Zafu Cushion - Wide -Cotton,Misty Blue / Misty Blue,ME-CZ-W-MB,variant_name
Crystal Bowls - Coloured,6 in,MI-CB-C-6,Crystal Bowls – Chakra Coloured,6 in,MI-CB-C-6,product_name
Crystal Bowls - Coloured,7 in,MI-CB-C-7,Crystal Bowls – Chakra Coloured,7 in,MI-CB-C-7,product_name
Crystal Bowls - Coloured,8 in,MI-CB-C-8,Crystal Bowls – Chakra Coloured,8 in,MI-CB-C-8,product_name
Crystal Bowls - Coloured,9 in,MI-CB-C-9,Crystal Bowls – Chakra Coloured,9 in,MI-CB-C-9,product_name
Crystal Bowls - Coloured,10 in,MI-CB-C-10,Crystal Bowls – Chakra Coloured,10 in,MI-CB-C-10,product_name
Crystal Bowls - Coloured,11 in,MI-CB-C-11,Crystal Bowls – Chakra Coloured,11 in,MI-CB-C-11,product_name
Crystal Bowls - Coloured,12 in,MI-CB-C-12,Crystal Bowls – Chakra Coloured,12 in,MI-CB-C-12,product_name
Crystal Bowls - Coloured,13 in,MI-CB-C-13,Crystal Bowls – Chakra Coloured,13 in,MI-CB-C-13,product_name
Crystal Bowls - Coloured,14 in,MI-CB-C-14,Crystal Bowls – Chakra Coloured,14 in,MI-CB-C-14,product_name
Gong Plates/Shruti Plates Etched,B Plate,MI-GP-ET-B,Shruthi Thali/Gong Plates – Etched,B Plate,MI-GP-ET-B,product_name
Gong Plates/Shruti Plates Etched,A Plate,MI-GP-ET-A,Shruthi Thali/Gong Plates – Etched,A Plate,MI-GP-ET-A,product_name
Gong Plates/Shruti Plates Etched,G Plate,MI-GP-ET-G,Shruthi Thali/Gong Plates – Etched,G Plate,MI-GP-ET-G,product_name
Gong Plates/Shruti Plates Etched,F Plate,MI-GP-ET-F,Shruthi Thali/Gong Plates – Etched,F Plate,MI-GP-ET-F,product_name
Gong Plates/Shruti Plates Etched,E Plate,MI-GP-ET-E,Shruthi Thali/Gong Plates – Etched,E Plate,MI-GP-ET-E,product_name
Gong Plates/Shruti Plates Etched,D Plate,MI-GP-ET-D,Shruthi Thali/Gong Plates – Etched,D Plate,MI-GP-ET-D,product_name
Gong Plates/Shruti Plates Etched,C Plate,MI-GP-ET-C,Shruthi Thali/Gong Plates – Etched,C Plate,MI-GP-ET-C,product_name
Gong Plates/Shruti Plates Etched,Full Set,MI-GP-ET-SET7,Shruthi Thali/Gong Plates – Etched,Full Set,MI-GP-ET-SET7,product_name
Etched Chau Gong,18 in,MI-GO-CH-ET-18,Etched Chau Gongs,18 in,MI-GO-CH-ET-18,product_name
Etched Chau Gong,20 in,MI-GO-CH-ET-20,Etched Chau Gongs,20 in,MI-GO-CH-ET-20,product_name
Etched Chau Gong,22 in,MI-GO-CH-ET-22,Etched Chau Gongs,22 in,MI-GO-CH-ET-22,product_name
Etched Chau Gong,24 in,MI-GO-CH-ET-24,Etched Chau Gongs,24 in,MI-GO-CH-ET-24,product_name
Etched Chau Gong,28 in,MI-GO-CH-ET-28,Etched Chau Gongs,28 in,MI-GO-CH-ET-28,product_name
Etched Chau Gong,32 in,MI-GO-CH-ET-32,Etched Chau Gongs,32 in,MI-GO-CH-ET-32,product_name
Etched Chau Gong,36 in,MI-GO-CH-ET-36,Etched Chau Gongs,36 in,MI-GO-CH-ET-36,product_name
Etched Chau Gong,40INCH,MI-GO-CH-ET-40,Etched Chau Gongs,40 in,MI-GO-CH-ET-40,"product_name,variant_name"
Etched Handmade Singing Bowls,Buddha / 8in,MI-SB-HM-ET-B-8,Etched Handmade Singing Bowls,8 in / Buddha,MI-SB-HM-ET-B-8,variant_name
Etched Handmade Singing Bowls,Sacred Geometry / 8in,MI-SB-HM-ET-SG-8,Etched Handmade Singing Bowls,8 in / Sacred Geometry,MI-SB-HM-ET-SG-8,variant_name
