db_name,db_variant,db_sku
Natural Bamboo Xylophone with 5 Keys,,MI-XP-B-5
Aluminium 22 Steel Bars Chime,,MI-Ch-BS-22
Bamboo Jaw Harp,,MI-BJH
Mini Bamboo Slide Whistle,Single,MI-B-SW-S
Mini Bamboo Slide Whistle,Double,MI-B-SW-D
Mini Bamboo Slide Whistle,Single Painted,MI-B-SW-S-P
Mini Tongue Drum,Yellow,MI-TD-6.3-Y
Mini Tongue Drum,Blue,MI-TD-6.3-B
Mini Tongue Drum,Green,MI-TD-6.3-G
Mini Tongue Drum,Purple,MI-TD-6.3-P
Natural Lavender Scented Eye Pillows,Rose,Yo-P-E-RE
Natural Lavender Scented Eye Pillows,Dark Grey,Yo-P-E-DG
Natural Lavender Scented Eye Pillows,Grey,Yo-P-E-GY
Natural Lavender Scented Eye Pillows,Navy Blue,Yo-P-E-NB
Natural Lavender Scented Eye Pillows,Sage,Yo-P-E-SE
"Grooved, Hammered & Plain Copper Bottle",With Brush / Gold / Curved,CB-CP-B
"Grooved, Hammered & Plain Copper Bottle",With Brush / Gold / Diamond Groove,CB-CDG-B
"Grooved, Hammered & Plain Copper Bottle",Without Brush / Gold / Curved,CB-CP
"Grooved, Hammered & Plain Copper Bottle",Without Brush / Gold / Hammered,CB-CPH
"Grooved, Hammered & Plain Copper Bottle",With Brush / Gold / Hammered,CB-CPH-B
"Grooved, Hammered & Plain Copper Bottle",Without Brush / Vintage / Curved,CB-CV
"Grooved, Hammered & Plain Copper Bottle",Without Brush / Vintage / Curved,CB-CV-B
"Grooved, Hammered & Plain Copper Bottle",Without Brush / Vintage / Diamond Groove,CB-CVDG
"Grooved, Hammered & Plain Copper Bottle",With Brush / Vintage / Diamond Groove,CB-CVDG-B
Artistically Designed Copper Bottles,With Brush / 500ml / Tatvamasi - I am Infinite,CB-T-B-.5
Artistically Designed Copper Bottles,Without Brush / 1L / Blue Tranquillity,CB-BM
Artistically Designed Copper Bottles,Without Brush / 500ml / Blue Tranquillity,CB-BM-.5
Artistically Designed Copper Bottles,With Brush / 1L / Blue Tranquillity,CB-BM-B
Artistically Designed Copper Bottles,With Brush / 500ml / Blue Tranquillity,CB-BM-B-.5
Artistically Designed Copper Bottles,Without Brush / 1L / Happiness is inside,CB-HW
Artistically Designed Copper Bottles,Without Brush / 500ml / Happiness is inside,CB-HW-.5
Artistically Designed Copper Bottles,With Brush / 1L / Happiness is inside,CB-HW-B
Artistically Designed Copper Bottles,With Brush / 500ml / Happiness is inside,CB-HW-B.-.5
Artistically Designed Copper Bottles,Without Brush / 1L / Sunshine within me,CB-OL
Artistically Designed Copper Bottles,Without Brush / 500ml / Sunshine within me,CB-OL-.5
Artistically Designed Copper Bottles,With Brush / 1L / Sunshine within me,CB-OL-B
Artistically Designed Copper Bottles,With Brush / 500ml / Sunshine within me,CB-OL-B-.5
Artistically Designed Copper Bottles,Without Brush / 1L / Pink & Positive,CB-PNT
Artistically Designed Copper Bottles,Without Brush / 500ml / Pink & Positive,CB-PNT-.5
Artistically Designed Copper Bottles,With Brush / 1L / Pink & Positive,CB-PNT-B
Artistically Designed Copper Bottles,With Brush / 500ml / Pink & Positive,CB-PNT-B-.5
Artistically Designed Copper Bottles,Without Brush / 1L / Tatvamasi - I am Infinite,CB-T
Artistically Designed Copper Bottles,Without Brush / 500ml / Tatvamasi - I am Infinite,CB-T-.5
Artistically Designed Copper Bottles,With Brush / 1L / Tatvamasi - I am Infinite,CB-T-B
Eco-Friendly Neem Wood Toothbrush,pack-of-2,NTB-2
Eco-Friendly Neem Wood Toothbrush,pack-of-4,NTB-4
