sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku
Stainless Steel Straws,pack-of-2,SSS-2,Stainless Steel Straws,,SSS-2
Stainless Steel Straws,pack-of-4,SSS-4,Stainless Steel Straws,,SSS-4
Curved Diamond Groove Copper Bottle,copper / 1L / without-brush,CB-CDG,"Grooved, Hammered & Plain Copper Bottle",,CB-CDG
Curved Hammered Copper Bottles,with-brush / vintage,CB-CVH-B,"Grooved, Hammered & Plain Copper Bottle",,CB-CVH-B
Curved Hammered Copper Bottles,vintage / without-brush,CB-CVH,"Grooved, Hammered & Plain Copper Bottle",,CB-CVH
Ayurvedic Copper Bedroom Jar,Standard,CB-BJ,Ayurvedic Copper Bedroom Jar,,CB-BJ
7-Key Kalimba Made from Coconut Shell,Plain Etched,MI-KCS-PE,7-Key Kalimba Made from Coconut Shell - Painted & Plain,,MI-KCS-PE
7-Key Kalimba Made from Coconut Shell,Dot Painted,MI-KCS-DP,7-Key Kalimba Made from Coconut Shell - Painted & Plain,,MI-KCS-DP
Pangi Seed Shell Rattle,Standard,MI-PS,Pangi Seed Shell Rattle,,MI-PS
Kenari Bracelet,Standard,MI-KR-BT,Kenari Bracelet,,MI-KR-BT
Ocean Drums,Plain / 30 cms,MI-OD-P-30,Ocean Drums,,MI-OD-P-30
Ocean Drums,Plain / 35 cms,MI-OD-P-35,Ocean Drums,,MI-OD-P-35
Ocean Drums,Plain / 40 cms,MI-OD-P-40,Ocean Drums,,MI-OD-P-40
Ocean Drums,Dream Catcher / 30 cms,MI-OD-D-30,Ocean Drums,,MI-OD-D-30
Ocean Drums,Dream Catcher / 35 cms,MI-OD-D-35,Ocean Drums,,MI-OD-D-35
Ocean Drums,Dream Catcher / 40cm,MI-OD-D-40,Ocean Drums,,MI-OD-D-40
Shamanic Drum,Plain / 30 cms,MI-SD-P-30,Shamanic Drum,,MI-SD-P-30
Shamanic Drum,Plain / 40 cms,MI-SD-P-40,Shamanic Drum,,MI-SD-P-40
Shamanic Drum,Plain / 45 cms,MI-SD-P-45,Shamanic Drum,,MI-SD-P-45
Shamanic Drum,Butterfly / 30 cms,MI-SD-B-30,Shamanic Drum,,MI-SD-B-30
Shamanic Drum,Butterfly / 40 cms,MI-SD-B-40,Shamanic Drum,,MI-SD-B-40
Shamanic Drum,Butterfly / 45 cms,MI-SD-B-45,Shamanic Drum,,MI-SD-B-45
Crystal Bowls - Frosted white,6 in,MI-CB-W-6,Crystal Bowls,,MI-CB-W-6
Crystal Bowls - Frosted white,7 in,MI-CB-W-7,Crystal Bowls,,MI-CB-W-7
Crystal Bowls - Frosted white,8 in,MI-CB-W-8,Crystal Bowls,,MI-CB-W-8
Crystal Bowls - Frosted white,9 in,MI-CB-W-9,Crystal Bowls,,MI-CB-W-9
Crystal Bowls - Frosted white,10 in,MI-CB-W-10,Crystal Bowls,,MI-CB-W-10
Crystal Bowls - Frosted white,11 in,MI-CB-W-11,Crystal Bowls,,MI-CB-W-11
Crystal Bowls - Frosted white,12 in,MI-CB-W-12,Crystal Bowls,,MI-CB-W-12
Crystal Bowls - Frosted white,13 in,MI-CB-W-13,Crystal Bowls,,MI-CB-W-13
Crystal Bowls - Frosted white,14 in,MI-CB-W-14,Crystal Bowls,,MI-CB-W-14
Singing Bowl with Mantra - Rustic Blue Colour,6 inches,MI-SB-RB-6,Singing Bowl with Mantra - Rustic Blue Colour,,MI-SB-RB-6
Singing Bowl with Mantra - Rustic Blue Colour,7 Inches,MI-SB-RB-7,Singing Bowl with Mantra - Rustic Blue Colour,,MI-SB-RB-7
Spiral/Snake Didgeridoo,Green,MI-DG-SP-G,Spiral/Snake Didgeridoo,,MI-DG-SP-G
Spiral/Snake Didgeridoo,Red,MI-DG-SP-R,Spiral/Snake Didgeridoo,,MI-DG-SP-R
Swinging Chimes,6 Bars,MI-SC-6,Swinging Chimes,,MI-SC-6
Swinging Chimes,9 Bars,MI-SC-9,Swinging Chimes,,MI-SC-9
Tuning Fork - Single Weighted & Unweighted,Weighted / 128 Hz,MI-TF-W-128,Tuning Fork - Single Weighted & Unweighted,,MI-TF-W-128
Tuning Fork - Single Weighted & Unweighted,Weighted / 256 Hz,MI-TF-W-256,Tuning Fork - Single Weighted & Unweighted,,MI-TF-W-256
Tuning Fork - Single Weighted & Unweighted,Weighted / 432 Hz,MI-TF-W-432,Tuning Fork - Single Weighted & Unweighted,,MI-TF-W-432
