sheet_name,sheet_variant,sheet_sku
Jala Neti Pot - Ceramic 185 ml,Red,YO-NP-R-185
Jala Neti Pot - Ceramic 185 ml,Blue,YO-NP-B-185
Jala Neti Pot - Ceramic 185 ml,Lemon Yellow,YO-NP-LY-185
Jala Neti Pot - Ceramic 185 ml,Mint Green,YO-NP-MG-185
Jala Neti Pot - Ceramic 185 ml,White,YO-NP-W-185
Tounge Cleaner,Straight / pack-of-1,TC-S-1
Tounge Cleaner,Straight / pack-of-2,TC-S-2
Tounge Cleaner,Straight / pack-of-4,TC-S-4
7 Chakras - Plain Copper Bottles,Plain / 500ml/ With Brush,CB-7C-B-.5
7 Chakras - Plain Copper Bottles,Plain / 500ml/ Without Brush,CB-7C-.5
7 Chakras - Plain Copper Bottles,Plain / 1L / With Brush,CB-7C-B
7 Chakras - Plain Copper Bottles,Plain / 1L/ Without Brush,CB-7C
7 Chakras - Vintage Copper Bottles,Vintage / 500ml/ With Brush,CB-7C-V-B-.5
7 Chakras - Vintage Copper Bottles,Vintage/ 500ml/ Without Brush,CB-7C-V-.5
7 Chakras - Vintage Copper Bottles,Vintage / 1L/ With Brush,CB-7C-V-B
7 Chakras - Vintage Copper Bottles,Vintage/  1L/ Without Brush,CB-7C-V
7 Chakras - Copper Bottles with Handle,Plain / 1L / With Brush,CB-7C-H-B
7 Chakras - Copper Bottles with Handle,Plain / 1L/ Without Brush,CB-7C-H
7 Chakras - Copper Bottles with Handle,Vintage / 1L/ Without Brush,CB-7C-V-H
7 Chakras - Copper Bottles with Handle,Vintage / 1L / With Brush,CB-7C-V-H-B
Curved Copper Bottles,gold / With Brush,CB-C-B
Curved Copper Bottles,gold / Without Brush,CB-C
Curved Copper Bottles,vintage / With Brush,CB-C-V-B
Curved Copper Bottles,vintage / Without Brush,CB-C-V
Curved Diamond Groove Copper Bottle,vintage / 1L / without-brush,CB-CDG-V
Hammered Copper Bottle,copper / without-brush,CB-HM
Hammered Copper Bottle,copper / with-brush,CB-HM-B
Sunshine within Me (Artistic Design),with-brush / 1L,CB-AD-SS-B
Sunshine within Me (Artistic Design),without-brush / 1L,CB-AD-SS
Sunshine within Me (Artistic Design),without-brush / 500ml,CB-AD-SS-.5
