slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
11-note-tongue-drum,11 Note Tongue Drum,42373,ACTIVE,VARIABLE,"",gst12,0,573,"","",8,6,0,7,32,0,0,false
32-rods-bar-chime,32 Rods - Bar Chime,42389,ACTIVE,SIMPLE,"",gst18,0,595,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/32-bar-chime.mp3,1,5,0,7,4,0,4,false
7-chakra-morchang-set,7 Chakra Morchang Set,48727,ACTIVE,VARIABLE,"",standard,1287,1288,"","",8,1,0,7,32,0,0,false
7-chakras-copper-water-bottles,7 Chakras Copper Water Bottles,6080,ACTIVE,VARIABLE,"",gst-5,0,647,"","",8,11,8,7,32,0,0,false
7-chakras-copper-water-bottles-with-handle,7 Chakras Copper Water Bottles with Handle,44503,ACTIVE,VARIABLE,"",gst-5,0,706,"","",4,11,4,7,16,0,0,false
7-chakras-gold-copper-bottle,7 Chakras Gold - Copper Bottle,5675,ACTIVE,VARIABLE,"",gst-5,0,706,"","",4,8,0,7,16,0,0,false
7-chakras-moderate-grip-yoga-mat,7 Chakras Moderate Grip Yoga Mat,8422,ACTIVE,VARIABLE,"",gst-5,294,930,"","",24,19,0,7,96,0,3,false
7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,7687,ACTIVE,VARIABLE,"",gst-5,0,1154,"","",9,20,9,7,36,0,3,false
7-chakras-vintage-copper-bottle,7 Chakras Vintage - Copper Bottle,5682,ACTIVE,VARIABLE,"",gst-5,0,706,"","",4,7,0,7,16,0,0,false
7-chakras-yoga-mats,7 Chakras Yoga Mats,46141,ACTIVE,VARIABLE,"",gst-5,294,987,"","",10,1,4,7,40,0,5,false
7-key-kalimba-made-from-coconut-shell-painted-plain,7-Key Kalimba Made from Coconut Shell - Painted & Plain,7661,ACTIVE,VARIABLE,"",gst-5,0,802,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/Kalimba.mp3,2,18,2,7,8,0,2,false
8-keys-metallophone-with-1-1-5-key-widths,8 Keys Metallophone - with 1” & 1.5” key-widths,42332,ACTIVE,VARIABLE,"",gst12,0,862,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/Xylophone-1-inch-.mp3,2,6,2,7,8,0,6,false
8-keys-wooden-xylophone,8 Keys Wooden Xylophone,42340,ACTIVE,SIMPLE,"",gst12,0,837,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/Wooden-Xylophone.mp3,1,5,0,7,4,0,4,false
9-10-notes-handpan-drum-handcrafted-to-precision,9/10 Notes Handpan Drum - Handcrafted to Precision,8058,ACTIVE,VARIABLE,"",gst-zero-rate,69,560,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/10/handpan.mp3,2,15,0,7,8,0,5,false
aluminium-22-steel-bars-chime,Aluminium 22 Steel Bars Chime,46525,ACTIVE,SIMPLE,"",gst12,236,569,"","",1,3,0,7,0,0,0,false
angel-tuning-forks,Angel Tuning Forks,48205,ACTIVE,VARIABLE,"",standard,555,555,"","",3,1,0,7,12,0,0,false
