product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
11-note-tongue-drum,MI-TD-11N-B-10,false,ACTIVE,845000,735000,12500,10500,"",0,color=Blue;size=10 inches,4
11-note-tongue-drum,MI-TD-11N-B-12,false,ACTIVE,895000,785000,13500,11500,"",0,color=Blue;size=12 inches,4
11-note-tongue-drum,MI-TD-11N-B-6,false,ACTIVE,685000,585000,10500,8500,"",0,color=Blue;size=6 inches,4
11-note-tongue-drum,MI-TD-11N-B-8,false,ACTIVE,785000,675000,11500,9500,"",0,color=Blue;size=8 inches,4
11-note-tongue-drum,MI-TD-11N-W-10,true,ACTIVE,845000,735000,12500,10500,"",0,color=White;size=10 inches,4
11-note-tongue-drum,MI-TD-11N-W-12,false,ACTIVE,895000,785000,13500,11500,"",0,color=White;size=12 inches,4
11-note-tongue-drum,MI-TD-11N-W-6,false,ACTIVE,685000,585000,10500,8500,"",0,color=White;size=6 inches,4
11-note-tongue-drum,MI-TD-11N-W-8,false,ACTIVE,785000,675000,11500,9500,"",0,color=White;size=8 inches,4
32-rods-bar-chime,MI-BCH-32,true,ACTIVE,760500,585000,10000,9250,"",0,"",4
7-chakra-morchang-set,MI-MO-A,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=A Tune,4
7-chakra-morchang-set,MI-MO-B,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=B Tune,4
7-chakra-morchang-set,MI-MO-C,true,ACTIVE,275000,265000,4250,3250,"",0,tunes=C Tune,4
7-chakra-morchang-set,MI-MO-D,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=D Tune,4
7-chakra-morchang-set,MI-MO-E,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=E Tune,4
7-chakra-morchang-set,MI-MO-F,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=F Tune,4
7-chakra-morchang-set,MI-MO-G,false,ACTIVE,275000,265000,4250,3250,"",0,tunes=G Tune,4
7-chakra-morchang-set,MI-MO-ST,false,ACTIVE,1750000,1650000,21500,19500,"",0,tunes=Full Set,4
7-chakras-copper-water-bottles,CB-7CP,false,ACTIVE,161900,124500,2180,1950,"",1,cleaning-brush=Without Brush;size=1L;type=7 Chakras Plain,4
7-chakras-copper-water-bottles,CB-7CP-.5,false,ACTIVE,120300,92500,1620,1450,"",1,cleaning-brush=Without Brush;size=500ml;type=7 Chakras Plain,4
7-chakras-copper-water-bottles,CB-7CP-B,false,ACTIVE,174900,134500,2360,2110,"",1,cleaning-brush=With Brush;size=1L;type=7 Chakras Plain,4
7-chakras-copper-water-bottles,CB-7CP-B-.5,true,ACTIVE,129400,99500,1750,1560,"",1,cleaning-brush=With Brush;size=500ml;type=7 Chakras Plain,4
7-chakras-copper-water-bottles,CB-7CV,false,ACTIVE,161900,124500,2180,1950,"",1,cleaning-brush=Without Brush;size=1L;type=7 Chakras Vintage,4
7-chakras-copper-water-bottles,CB-7CV-.5,false,ACTIVE,120300,92500,1620,1450,"",1,cleaning-brush=Without Brush;size=500ml;type=7 Chakras Vintage,4
