product_name,sku_count,skus
1490.0,8,YO-YMA-M-T;YO-YMA-M-O;YO-YMA-M-Y;YO-YMA-M-P;YO-YMA-T-S;YO-YMA-O-S;YO-YMA-Y-S;YO-YMA-P-S
Bamboo Rainstick with Bag,1,MI-BR-WB
Bottle,3,BO-N-.5;BO-B-.5;BO-N-1
Clay Whistle,1,MI-CW
Crystal Bowls - Coloured,9,MI-CB-C-6;MI-CB-C-7;MI-CB-C-8;MI-CB-C-9;MI-CB-C-10;MI-CB-C-11;MI-CB-C-12;MI-CB-C-13;MI-CB-C-14
Curved Diamond Groove Copper Bottle,2,CB-CDG;CB-CVDG
Curved Hammered Copper Bottles,2,CB-CVH-B;CB-CVH
Etched Chau Gong,10,MI-ECG-18;MI-ECG-20;MI-ECG-22;MI-ECG-24;MI-ECG-28;MI-ECG-32;MI-ECG-36;MI-ECG-28-2;MI-ECG-32-2;MI-ECG-40
"Grooved, Hammered & Plain Copper Bottle",12,CB-CP-B-1;CB-CDG-1;CB-CDG-B;CB-CP-1;CB-CPH;CB-CPH-B;CB-CV-1;CB-CV-B-1;CB-CVDG-1;CB-CVDG-B;CB-CVH-1;CB-CVH-B-1
Hammered Copper Bottle,2,HCB-C-N;HCB-C-B
Happiness is Inside,1,HII-B-1
Native American Flute - Double,1,MI-NAF-D
Native American Flute - Single Large,1,MI-NAF-SL
Native American Flute - Single Medium,1,MI-NAF-SM
Native American Flute - Single Small,1,MI-NAF-SS
Native American Flute - Triple,1,MI-NAF-T
Ocarina - Big,1,MI-OC-B
Ocarina - Small,1,MI-OC-S
Overtone Flute,1,MI-OF
Pink & Positive,4,PP-N-1;PP-N-.5;PP-B-.5;PP-B-1
Swing Flute/Harmonic,1,MI-SFH
Tattvamasi-I am Infinite,4,TIAI-B-1;TIAI-N-.5;TIAI-B-.5;TIAI-N-1
Tuned Pipes,2,MI-TP-285;MI-TP-432
WIND GONG PLAIN,8,MI-WGP-14;MI-WGP-16;MI-WGP-18;MI-WGP-20;MI-WGP-22;MI-WGP-24;MI-WGP-26;MI-WGP-28
Wind chimes,10,MI-WC-GO-S;MI-WC-GO-L;MI-WC-GR-S;MI-WC-GR-L;MI-WC-YE-S;MI-WC-YE-L;MI-WC-SI-S;MI-WC-SI-L;MI-WC-A-C-S;MI-WC-A-C-L
