slug,name,status,woo_id,variant_count,catalog_hidden
antique-finish-handmade-singing-bowls,Antique finish Handmade Singing Bowls,DRAFT,9964,7,false
bamboo-rainstick-49779,Bamboo Rainstick,ACTIVE,49779,1,false
bendo-shaker1,Bendo Shaker,ACTIVE,,3,false
brain-tuner-set-harmonize-your-mind-s-natural-rhythms,Brain Tuner Set – Harmonize Your Mind’s Natural Rhythms,DRAFT,48421,6,false
course-checkout-nada-yoga,Nada Yoga- Primordial Sound Meditation,ACTIVE,,1,true
course-checkout-qigong-fundamentals,Root & Breath – Qigong Fundamentals & Body Awakening,ACTIVE,,1,true
course-checkout-rhythmic-foundations,Rhythmic Foundations for Sound Practitioners,ACTIVE,,1,true
course-checkout-sonic-odyssey-workshop-across-india,Sonic Odyssey Workshop- Across India,ACTIVE,,1,true
course-checkout-sound-alchemy-online,Introduction to the Art & Science of Sound Therapy & Nada Yoga - Online Course,ACTIVE,,1,true
course-checkout-sound-healing-course,Sound Healing Course,ACTIVE,,1,true
course-checkout-sound-healing-course-1,Sound Healing Course,ACTIVE,,1,true
course-checkout-sound-therapy-bangalore,Sound Healing and Therapy Fundamentals Weekend Residential Workshop Nov 30 to Dec 1 – Bangalore,ACTIVE,,1,true
course-checkout-sound-therapy-bangalore-3,Sound Therapy & Nada Yoga Workshop - Bangalore,ACTIVE,,1,true
course-checkout-sound-therapy-delhi,"Sound Healing and Therapy Fundamentals Workshop, October 19 to 20 - Delhi",ACTIVE,,1,true
course-checkout-sound-therapy-fundamentals,Sound Therapy Fundamentals,ACTIVE,,1,true
course-checkout-sound-therapy-fundamentals-online,Sound Therapy Fundamentals,ACTIVE,,1,true
course-checkout-sound-therapy-goa,Sound Therapy Workshop – Goa,ACTIVE,,1,true
course-checkout-sound-therapy-mumbai,Sound Healing and Therapy Fundamentals Workshop 9-10 November – Mumbai,ACTIVE,,1,true
course-checkout-yoga-therapy-course,Yoga Therapy Course,ACTIVE,,1,true
crescent-zafu-meditation-cushion,Crescent Zafu Meditation Cushion,DRAFT,6734,10,false
crystal-bowl-mallets,Crystal Bowl Mallets,DRAFT,49604,3,false
crystal-bowl-o-rings-support-rings,Crystal Bowl O Rings (Support Rings),DRAFT,49760,4,false
eco-friendly-neem-wood-toothbrush,Eco-Friendly Neem Wood Toothbrush,ACTIVE,5037,2,false
etched-plain-wind-gong,Etched Plain/Wind Gong,ACTIVE,8846,64,false
event-checkout-antar-mauna-a-new-moon-sonic-journey,Antar Mauna - New Moon Inner Silence Experience,ACTIVE,,1,true
event-checkout-drum-circle-with-arjun-xenkat,Drum Circle with Arjun & Xenkat,ACTIVE,,1,true
event-checkout-immersive-sound-bath-experience-with-yoganidra,Immersive Sound Bath Experience with yoganidra,ACTIVE,,1,true
event-checkout-purnimaya,"PURNIMAYA- Etheric Sounds, Mantras and Movement under the Full Moon's glow",ACTIVE,,1,true
event-checkout-shamanic-breathwork,Shamanic Breathwork with Soundbath Experience by Nandini Shastri,ACTIVE,,1,true
event-checkout-sonic-exploration,Sonic Exploration- Awaken the Inner Musician Within,ACTIVE,,1,true
event-checkout-the-hum,The Hum: Meditative Sound Bath Experience in Mysore,ACTIVE,,1,true
eye-pillow,Eye Pillow,ACTIVE,,1,false
handmade-lingam-singing-bowl,Handmade Lingam Singing Bowl,DRAFT,9936,7,false
ishana-black-gold-bowl,Ishana/Black-Gold Bowl,DRAFT,9949,8,false
kenari-seed-shell-shaker-with-handle,Kenari Seed Shell Shaker with Handle,DRAFT,7349,1,false
lotus-moderate-grip-yoga-mat,Lotus Moderate Grip Yoga Mat,DRAFT,8401,24,false
lotus-superior-grip-yoga-mat,Lotus Superior Grip Yoga Mat,DRAFT,42648,20,false
mini-bamboo-and-aluminium-bar-chime,Mini Bamboo and Aluminium Bar Chime,DRAFT,7450,2,false
native-american-style-flute-handcrafted-wooden-melody-maker,Native American Style Flute – Handcrafted Wooden Melody Maker,ACTIVE,48428,1,false
neem-wood-combs,Neem Wood Combs,DRAFT,5038,5,false
ocarina-instruments,Ocarina Instruments,DRAFT,48373,2,false
plain-moderate-grip-yoga-mat,Plain Moderate Grip Yoga Mat,DRAFT,8379,24,false
plain-superior-grip-yoga-mat,Plain Superior Grip Yoga Mat,DRAFT,42582,20,false
svaram-sound-ships,Svaram sound ships,ARCHIVED,,1,true
tune-sound-pipe,Tune Sound Pipe,DRAFT,45527,4,false
tuning-swords-sound-therapy-instrument,Tuning Swords – Sound Therapy Instrument,DRAFT,49818,3,false
yoga-mats-superior-moderate,Yoga Mats Superior & Moderate,DRAFT,46017,24,false
