slug,name,type,live_variants
clay-ocarinas,Clay Ocarinas,variable,2
copper-bottle-curved-copper-diamond-groove,Curved Diamond Groove Copper Bottle,variable,4
copper-bottle-curved-vintage-hammered,Curved Hammered Copper Bottles,variable,2
copper-bottle-hammered-copper-set,Hammered Copper Bottle,variable,2
copper-bottle-pink-noble-toughts,Pink &#038; Positive,variable,4
copper-bottle-vintage-plain-curved,Curved Copper Bottles,variable,4
copper-bottle-with-brush-tattvamasi,Tattvamasi-I am Infinite,variable,4
copper-bottle-with-brush-true-happiness-lies-within,Happiness is Inside,variable,4
engraved-flat-wind-tibetan-gong-for-meditation-sound-therapy,Etched Wind Gong,variable,64
etched-gongs,Etched Chau Gongs,variable,21
sleigh-bells-wooden-jingle-stick,Sleigh Bells Wooden Jingle Stick,simple,0
tuned-pipe,Tuned Pipes,variable,2
wind-chimes,Wind Chimes,variable,10
wooden-finger-castanet,Wooden Finger Castanet,variable,2
wooden-guiro,Wooden Guiro,simple,0
wooden-hand-taal-khartal,Wooden Hand Taal Khartal,variable,3
