sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
MI-TD-11N-W-10,11 Note Tongue Drum,10 inches / White,4200.0,11-note-tongue-drum,7350.0,8450.0,ACTIVE,False
MI-TD-11N-B-10,11 Note Tongue Drum,10 inches / Blue,4200.0,11-note-tongue-drum,7350.0,8450.0,ACTIVE,False
MI-TD-11N-W-12,11 Note Tongue Drum,12 inches / White,4700.0,11-note-tongue-drum,7850.0,8950.0,ACTIVE,False
MI-TD-11N-B-12,11 Note Tongue Drum,12 inches / Blue,4700.0,11-note-tongue-drum,7850.0,8950.0,ACTIVE,False
NP-R-185,Jala Neti Pot - Ceramic 185 ml,Red,60.0,jala-neti-pot-ceramic-185-ml,245.0,319.0,ACTIVE,False
NP-B-185,Jala Neti Pot - Ceramic 185 ml,Blue,60.0,jala-neti-pot-ceramic-185-ml,245.0,319.0,ACTIVE,False
NP-LY-185,Jala Neti Pot - Ceramic 185 ml,Lemon Yellow,60.0,jala-neti-pot-ceramic-185-ml,245.0,319.0,ACTIVE,False
NP-MG-185,Jala Neti Pot - Ceramic 185 ml,Mint Green,60.0,jala-neti-pot-ceramic-185-ml,245.0,319.0,ACTIVE,False
NP-W-185,Jala Neti Pot - Ceramic 185 ml,White,60.0,jala-neti-pot-ceramic-185-ml,245.0,319.0,ACTIVE,False
TC-S-1,Tounge Cleaner,Straight / pack-of-1,49.0,copper-tongue-cleaner,165.0,215.0,ACTIVE,False
TC-S-2,Tounge Cleaner,Straight / pack-of-2,98.0,copper-tongue-cleaner,265.0,345.0,ACTIVE,False
TC-S-4,Tounge Cleaner,Straight / pack-of-4,196.0,copper-tongue-cleaner,395.0,514.0,ACTIVE,False
CB-7CP-B-.5,7 Chakras Copper Water Bottles,7 Chakras Plain / With Brush / 500ml,390.0,7-chakras-copper-water-bottles,995.0,1294.0,ACTIVE,False
CB-7CP,7 Chakras Copper Water Bottles,7 Chakras Plain / Without Brush / 1L,510.0,7-chakras-copper-water-bottles,1245.0,1619.0,ACTIVE,False
CB-7CP-.5,7 Chakras Copper Water Bottles,7 Chakras Plain / Without Brush / 500ml,390.0,7-chakras-copper-water-bottles,925.0,1203.0,ACTIVE,False
CB-7CP-B,7 Chakras Copper Water Bottles,7 Chakras Plain / 1L / With Brush,510.0,7-chakras-copper-water-bottles,1345.0,1749.0,ACTIVE,False
CB-7CV,7 Chakras Copper Water Bottles,Without Brush / 1L / 7 Chakras Vintage,520.0,7-chakras-copper-water-bottles,1245.0,1619.0,ACTIVE,False
CB-7CV-.5,7 Chakras Copper Water Bottles,Without Brush / 7 Chakras Vintage / 500ml,550.0,7-chakras-copper-water-bottles,925.0,1203.0,ACTIVE,False
CB-7CV-B,7 Chakras Copper Water Bottles,1L / 7 Chakras Vintage / With Brush,520.0,7-chakras-copper-water-bottles,1345.0,1749.0,ACTIVE,False
CB-7CV-B-.5,7 Chakras Copper Water Bottles,7 Chakras Vintage / With Brush / 500ml,550.0,7-chakras-copper-water-bottles,995.0,1294.0,ACTIVE,False
CB-7CP-B-1,7 Chakras Copper Water Bottles with Handle,7 Chakras Plain / 1L / With Brush,530.0,7-chakras-copper-water-bottles-with-handle,1345.0,1749.0,ACTIVE,False
CB-7CP-1,7 Chakras Copper Water Bottles with Handle,7 Chakras Plain / Without Brush / 1L,530.0,7-chakras-copper-water-bottles-with-handle,1245.0,1619.0,ACTIVE,False
CB-7CV-1,7 Chakras Copper Water Bottles with Handle,Without Brush / 1L / 7 Chakras Vintage,540.0,7-chakras-copper-water-bottles-with-handle,1245.0,1619.0,ACTIVE,False
CB-7CV-B-1,7 Chakras Copper Water Bottles with Handle,1L / 7 Chakras Vintage / With Brush,540.0,7-chakras-copper-water-bottles-with-handle,1345.0,1749.0,ACTIVE,False
CB-CP-B,Curved Copper Bottles,With Brush / gold,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CP,Curved Copper Bottles,Without Brush / gold,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CV-B,Curved Copper Bottles,vintage / With Brush,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CV,Curved Copper Bottles,vintage / Without Brush,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CDG,Curved Diamond Groove Copper Bottle,copper / 1L / without-brush,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CVDG,Curved Diamond Groove Copper Bottle,vintage / 1L / without-brush,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CVH-B,Curved Hammered Copper Bottles,with-brush / vintage,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CVH,Curved Hammered Copper Bottles,vintage / without-brush,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CP-B,"Grooved, Hammered & Plain Copper Bottle",Gold / Curved / With Brush,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CDG,"Grooved, Hammered & Plain Copper Bottle",Diamond Groove / Without Brush / Gold,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CDG-B,"Grooved, Hammered & Plain Copper Bottle",Diamond Groove / Gold / With Brush,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CP,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Gold / Curved,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CPH,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Gold / Hammered,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CPH-B,"Grooved, Hammered & Plain Copper Bottle",Gold / Hammered / With Brush,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CV,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Curved / Vintage,520.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CV-B,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Curved / Vintage,520.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CVDG,"Grooved, Hammered & Plain Copper Bottle",Diamond Groove / Without Brush / Vintage,510.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
