sku,name,variant,sheet_existing_sale,sheet_mrp,sheet_proposed,ls_sale,ls_mrp,ls_slug
Yo-M-C-HG-T,7 Chakras Yoga Mats,Teal/ Superior,1890.0,2090.0,2170.656,1990.0,2750.0,7-chakras-yoga-mats
Yo-M-C-HG-O,7 Chakras Yoga Mats,Orange / Superior,1890.0,2090.0,2170.656,1990.0,2750.0,7-chakras-yoga-mats
Yo-M-C-HG-Y,7 Chakras Yoga Mats,Yellow / Superior,1890.0,2090.0,2170.656,1990.0,2750.0,7-chakras-yoga-mats
Yo-M-C-HG-P,7 Chakras Yoga Mats,Pink / Superior,1890.0,2090.0,2170.656,1990.0,2750.0,7-chakras-yoga-mats
Co-Me-C-Z-Zn-LG,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Light Grey,1995.0,3971.2368,3971.2368,2795.0,3295.0,zafu-zabuton-meditation-cushion-combo
Co-Me-C-Z-Zn-LR,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Lavender,1995.0,3971.2368,3971.2368,2795.0,3295.0,zafu-zabuton-meditation-cushion-combo
Co-Me-C-Z-Zn-MB,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Misty Blue,1995.0,3971.2368,3971.2368,2795.0,3295.0,zafu-zabuton-meditation-cushion-combo
CO-Me-Zf-Zn-C-NB,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Navy Blue,1995.0,3971.2368,3971.2368,2795.0,3295.0,zafu-zabuton-meditation-cushion-combo
Mi-SB-MD-P-22,Extra Large Meridian Singing Bowls,Plain / 22 in,65500.0,81990.0,142948.32,79500.0,82500.0,extra-large-meridian-singing-bowls
MI-SB-JB,Joint Bowl or Knee Cut Bowl,8 in,9950.0,10792.8,10792.8,8750.0,9750.0,joint-bowl-or-knee-cut-bowl
MI-SB-P-SS-G-3.5,Sacred Symbols Singing Bowls,3.5 in / Green,1545.0,1580.01,1580.01,1295.0,1684.0,sacred-symbols-singing-bowls
MI-SB-C-G-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Green,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-B-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Blue,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-G-12,Singing Bowls Silk Ring Cushion Accessories,10 cms / Green,195.0,463.455,185.382,275.0,358.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-NB-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Navy Blue,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Black,195.0,463.455,185.382,190.0,209.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-R-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Red,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Brown,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-O-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Orange,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Yellow,195.0,463.455,185.382,190.0,209.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-10,Singing Bowls Silk Ring Cushion Accessories,10 cms / Pink,195.0,463.455,185.382,245.0,319.0,singing-bowls-silk-ring-cushion-accessories
MI-SB-M-L-R-11,Wooden Mallets for Singing Bowls,"Red / Long Soft-11""",695.0,450.864,450.864,645.0,945.0,wooden-mallets-for-singing-bowls
