action_group,product_slug,product_name,db_variant_name,sheet_variant_name,db_sku,sheet_sku,action_needed,variant_axis_order
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,7 Chakra Set,7 Chakra Set,IS-7C,IS-7C-SET,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,7 Chakra Set with Stand,7 Chakra Set with Stand,IS-7C-S,IS-7C-SET-S,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Citronella,Pure Citronella,IS-C-12,IS-CT,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Eucalyptus,Pure Eucalyptus,IS-E-12,IS-EU,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Frankincense,Pure Frankincense,IS-F-12,IS-FI,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Lavender,Pure Lavender,IS-L-12,IS-LV,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Musk,Pure Musk,IS-M-12,IS-MU,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Rose,Pure Rose,IS-R-12,IS-R,update_sku,
exact_variant_name,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,Pure Sandalwood,Pure Sandalwood,IS-S-12,IS-SW,update_sku,
exact_variant_name,8-keys-wooden-xylophone,8 Keys Wooden Xylophone,,,MI-XP-W-8,MI-XY-W-8,update_sku,
exact_variant_name,c-g-tuning-forks,C&G Tuning Forks,Unweighted,Unweighted,MI-TF-CG-W,MI-TF-UW-CG,update_sku,
exact_variant_name,c-g-tuning-forks,C&G Tuning Forks,Weighted,Weighted,woo-var-48319,MI-TF-W-CG,update_sku,
exact_variant_name,coconut-maracas-shakers,Coconut Maracas Shakers,Dot Painted,Dot Painted,MI-CM-DP,MI-CMS-DP,update_sku,
exact_variant_name,coconut-maracas-shakers,Coconut Maracas Shakers,Plain,Plain,MI-CM,MI-CMS,update_sku,
exact_variant_name,coconut-rattle,Coconut Rattle,,,MI-CR,MI-CR,none,
exact_variant_name,conscious-cards,Conscious Cards,,,MS-CC,ME-CC,update_sku,
exact_variant_name,copper-bottle-gift-set-7-chakra,Copper Bottle Gift Set - 7 Chakra,Gold,Gold,GP-CB-7C-C-2G,CB-7C-C-2G-SET,update_sku,
exact_variant_name,copper-bottle-gift-set-7-chakra,Copper Bottle Gift Set - 7 Chakra,Vintage,Vintage,GP-CB-7C-V-2G,CB-7C-V-2G-SET,update_sku,
exact_variant_name,crystal-bowl-bag,Crystal Bowl Bag,Large,Large,MI-CB-B-L,MI-BG-CB-L,update_sku,
exact_variant_name,crystal-bowl-bag,Crystal Bowl Bag,Medium,Medium,MI-CB-B-M,MI-BG-CB-M,update_sku,
exact_variant_name,crystal-bowl-bag,Crystal Bowl Bag,Small,Small,MI-CB-B-S,MI-BG-CB-S,update_sku,
exact_variant_name,crystal-bowl-with-handle,Crystal Bowl with Handle,,,MI-CBH,MI-CB-H,update_sku,
exact_variant_name,crystal-pyramid,Crystal Pyramid,6 in,6 in,MI-CP-6,MI-CP-6,none,
exact_variant_name,crystal-pyramid,Crystal Pyramid,8 in,8 in,MI-CP-8,MI-CP-8,none,
exact_variant_name,egg-shaker-with-handle,Egg Shaker with Handle,,,MI-ES-H,MI-ES-H,none,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,10 inches,10 inches,MI-SB-H-FM-10,MI-SB-HM-FM-10,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,11 Inches,11 Inches,MI-SB-H-FM-11,MI-SB-HM-FM-11,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,12 inches,12 inches,MI-SB-H-FM-12,MI-SB-HM-FM-12,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,13 Inches,13 Inches,MI-SB-H-FM-13,MI-SB-HM-FM-13,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,5 Inches,5 Inches,MI-SB-H-FM-5,MI-SB-HM-FM-5,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,6 inches,6 inches,MI-SB-H-FM-6,MI-SB-HM-FM-6,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,7 Inches,7 Inches,MI-SB-H-FM-7,MI-SB-HM-FM-7,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,8 inches,8 inches,MI-SB-H-FM-8,MI-SB-HM-FM-8,update_sku,
exact_variant_name,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,9 Inches,9 Inches,MI-SB-H-FM-9,MI-SB-HM-FM-9,update_sku,
exact_variant_name,gong-stand,Gong Stand,Dark / Extra Large,Dark / Extra Large,MI-GS-XL-D,MI-GO-ST-D-XL,update_sku,
exact_variant_name,gong-stand,Gong Stand,Dark / Large,Dark / Large,MI-GS-L-D,MI-GO-ST-D-L,update_sku,
exact_variant_name,gong-stand,Gong Stand,Dark / Medium,Dark / Medium,MI-GS-M-D,MI-GO-ST-D-M,update_sku,
exact_variant_name,gong-stand,Gong Stand,Dark / Small,Dark / Small,MI-GS-S-D,MI-GO-ST-D-S,update_sku,
exact_variant_name,gong-stand,Gong Stand,Light / Extra Large,Light / Extra Large,MI-GS-XL-L,MI-GO-ST-L-XL,update_sku,
exact_variant_name,gong-stand,Gong Stand,Light / Large,Light / Large,MI-GS-L-L,MI-GO-ST-L-L,update_sku,
exact_variant_name,gong-stand,Gong Stand,Light / Medium,Light / Medium,MI-GS-L-M,MI-GO-ST-L-M,update_sku,
exact_variant_name,gong-stand,Gong Stand,Light / Small,Light / Small,MI-GS-L-S,MI-GO-ST-L-S,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Large-Octave 2 / Chakra Etching,Large-Octave 2 / Chakra Etching,MI-SB-7C Set-L-EC,MI-SB-7C-O2-ET-SET7,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Large-Octave 2 / Full Moon,Large-Octave 2 / Full Moon,MI-SB-7C Set-L-FM,MI-SB-7C-O2-FM-SET7,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Large-Octave 2 / Matte,Large-Octave 2 / Matte,MI-SB-7C Set-L-M,MI-SB-7C-O2-M-SET7,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Standard-Octave 3 / Chakra Etching,Standard-Octave 3 / Chakra Etching,MI-SB-7C Set-S-EC,MI-SB-7C-O3-ET-SET7,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Standard-Octave 3 / Full Moon,Standard-Octave 3 / Full Moon,MI-SB-7C Set-S-FM,MI-SB-7C-O3-FM-SET7,update_sku,
exact_variant_name,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,Standard-Octave 3 / Matte,Standard-Octave 3 / Matte,MI-SB-7C Set-S-M,MI-SB-7C-O3-M-SET7,update_sku,
exact_variant_name,handheld-natural-coconut-shaker,Handheld Natural Coconut Shaker,,,MI-CS-H,MI-CS-HH,update_sku,
exact_variant_name,handpan-stand,Handpan Stand,,,MI-HP-S,MI-HP-S,none,
exact_variant_name,harmonium,Harmonium,Compact,Compact,MI-HM-MP,MI-HA-C,update_sku,
exact_variant_name,harmonium,Harmonium,Professional,Professional,MI-HM-PP,MI-HA-P,update_sku,
exact_variant_name,heart-chakra-singing-bowl,Heart Chakra Singing Bowl,,,woo-45473,MI-SB-HC,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Lavender,Lavender,Me-C-HZ-L-E-L,ME-HZ-EM-L-LV,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Light Grey,Light Grey,Me-C-HZ-LG-E-L,ME-HZ-EM-L-LG,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Misty Blue,Misty Blue,Me-C-HZ-MB-E-L,ME-HZ-EM-L-MB,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Rose,Rose,Me-C-HZ-R-E-L,ME-HZ-EM-L-R,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,Sage,Sage,Me-C-HZ-S-E-L,ME-HZ-EM-L-S,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Dark Grey,Dark Grey,Me-C-HZ-DG,ME-HZ-DG,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Grey,Grey,Me-C-HZ-GY,ME-HZ-GY,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Ivory,Ivory,Me-C-HZ-I,ME-HZ-I,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Lavender,Lavender,Me-C-HZ-LR,ME-HZ-LV,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Light Grey,Light Grey,Me-C-HZ-LG,ME-HZ-LG,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Maroon,Maroon,Me-C-HZ-M,ME-HZ-M,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Misty Blue,Misty Blue,Me-C-HZ-MB,ME-HZ-MB,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Navy Blue,Navy Blue,Me-C-HZ-NB,ME-HZ-NB,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Red,Red,Me-C-HZ-RD,ME-HZ-RD,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Rose,Rose,Me-C-HZ-R,ME-HZ-R,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Royal Blue,Royal Blue,Me-C-HZ-RB,ME-HZ-RB,update_sku,
exact_variant_name,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,Sage,Sage,Me-C-HZ-SE,ME-HZ-S,update_sku,
exact_variant_name,mayura-morchang-set,Mayura Morchang Set,Bass,Bass,MI-MM-B,MI-MO-MY-B,update_sku,
