id,slug,name,type,sku,parent,has_options,prices_currency,variation_count,image_count,short_desc_len,desc_len,permalink
50995,clay-ocarinas,Clay Ocarinas,variable,,0,True,INR,2,1,1058,209,https://sarveda.com/store/sound-musical-instruments/wind/clay-ocarinas/
50964,wooden-hand-taal-khartal,Wooden Hand Taal Khartal,variable,,0,True,INR,3,1,1064,157,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/wooden-hand-taal-khartal/
50608,sleigh-bells-wooden-jingle-stick,Sleigh Bells Wooden Jingle Stick,simple,,0,False,INR,0,1,1394,204,https://sarveda.com/store/sound-musical-instruments/percussion/sleigh-bells-wooden-jingle-stick/
50579,wooden-finger-castanet,Wooden Finger Castanet,variable,,0,True,INR,2,1,1608,213,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/wooden-finger-castanet/
50572,wooden-guiro,Wooden Guiro,simple,,0,False,INR,0,1,1106,354,https://sarveda.com/store/sound-musical-instruments/percussion/wooden-guiro/
50549,tuned-pipe,Tuned Pipes,variable,,0,True,INR,2,1,881,159,https://sarveda.com/store/sound-musical-instruments/chimes/tuned-pipe/
50420,wind-chimes,Wind Chimes,variable,,0,True,INR,10,1,1260,398,https://sarveda.com/store/sound-musical-instruments/chimes/wind-chimes/
49596,ankh-sound-healing-instrument,Ankh Sound Healing Instrument,variable,,0,True,INR,3,1,840,163,https://sarveda.com/store/sound-musical-instruments/tuning-forks/ankh-sound-healing-instrument/
49817,large-tuning-fork,DNA Tuning Fork,variable,,0,True,INR,4,1,1375,167,https://sarveda.com/store/sound-musical-instruments/tuning-forks/large-tuning-fork/
49816,solar-bell,Solar Bell,simple,,0,False,INR,0,1,1076,155,https://sarveda.com/store/sound-musical-instruments/tuning-forks/solar-bell/
49832,singing-bowl-set-g-a-b,"Singing Bowl Head Set – G, A, B",simple,,0,False,INR,0,1,1952,182,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowl-set-g-a-b/
49779,bamboo-rainstick-2,Bamboo Rainstick,simple,MI-RS-N,0,False,INR,0,1,628,260,https://sarveda.com/store/sound-musical-instruments/kids/bamboo-rainstick-2/
49115,etched-gongs,Etched Chau Gongs,variable,,0,True,INR,21,1,1700,208,https://sarveda.com/store/sound-musical-instruments/gongs-musical-instruments/etched-gongs/
48931,singing-bowl-with-handle,Singing Bowl with Handle,simple,,0,False,INR,0,1,890,326,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/singing-bowl-with-handle/
48856,mayura-morchang-set,Mayura Morchang Set,variable,,0,True,INR,4,1,2665,722,https://sarveda.com/store/sound-musical-instruments/indian-classical/mayura-morchang-set/
48653,classic-morchang-set,Classic Morchang Set,variable,,0,True,INR,4,1,2679,723,https://sarveda.com/store/sound-musical-instruments/indian-classical/classic-morchang-set/
48512,pulse-tubes,Pulse Tubes,variable,,0,True,INR,3,1,715,729,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/pulse-tubes/
48727,7-chakra-morchang-set,7 Chakra Morchang Set,variable,,0,True,INR,8,1,1284,1283,https://sarveda.com/store/sound-musical-instruments/indian-classical/7-chakra-morchang-set/
48318,cg-tuning-forks,C&#038;G Tuning Forks,variable,,0,True,INR,2,1,565,497,https://sarveda.com/store/sound-musical-instruments/tuning-forks/cg-tuning-forks/
48193,tuning-forks-7-chakra-set,Tuning Forks 7 Chakra Set,variable,,0,True,INR,8,1,600,600,https://sarveda.com/store/sound-musical-instruments/tuning-forks/tuning-forks-7-chakra-set/
48202,tuning-forks-solfeggio-set,Tuning Forks Solfeggio Set,variable,,0,True,INR,2,1,565,565,https://sarveda.com/store/sound-musical-instruments/tuning-forks/tuning-forks-solfeggio-set/
48205,angel-tuning-forks,Angel Tuning Forks,variable,,0,True,INR,3,1,562,562,https://sarveda.com/store/sound-musical-instruments/tuning-forks/angel-tuning-forks/
48133,tuning-forks-activators,Tuning Fork Activators,variable,,0,True,INR,3,1,593,593,https://sarveda.com/store/sound-musical-instruments/tuning-forks/tuning-forks-activators/
48136,tuning-forks-gem-foot,Tuning Forks Gem Feet,variable,,0,True,INR,8,1,417,553,https://sarveda.com/store/sound-musical-instruments/tuning-forks/tuning-forks-gem-foot/
48135,tuning-forks-extensions,Tuning Fork Extensions,variable,,0,True,INR,3,1,1100,1100,https://sarveda.com/store/sound-musical-instruments/tuning-forks/tuning-forks-extensions/
48229,handcrafted-wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,variable,,0,True,INR,4,1,339,339,https://sarveda.com/store/sound-musical-instruments/tuning-forks/handcrafted-wooden-stand-for-tuning-forks/
47924,belly-bowls,Belly Bowls,simple,,0,False,INR,0,1,620,620,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/belly-bowls/
