order_id	order_date	status	item_name	parent_name	sku	qty	line_total	product_id	variation_id
5435	2022-05-15	wc-completed	Neem Toothbrush - pack of 4	Eco-Friendly Neem Wood Toothbrush		1.0000	7.5000	5037	5217
6003	2022-11-01	wc-completed	Ceramic Jala Neti Pot - Red	Jala Neti Pot - Ceramic 185 ml	NP-R-185	1.0000	6.6000	5769	5776
6308	2022-12-11	wc-completed	Ceramic Jala Neti Pot - Red	Jala Neti Pot - Ceramic 185 ml	NP-R-185	1.0000	245.0000	5769	5776
6346	2022-12-16	wc-completed	Engraved Copper Water Bottles	7 Chakras Copper Water Bottles		1.0000	1210.0000	6080	6261
6347	2022-12-18	wc-completed	Printed Copper Water Bottles	Artistically Designed Copper Bottles		1.0000	1110.0000	6007	6256
6374	2022-12-23	wc-completed	Engraved Copper Water Bottles	7 Chakras Copper Water Bottles		1.0000	1110.0000	6080	6262
6376	2022-12-30	wc-completed	Neem Wood Combs - Combo 3	Neem Wood Combs	CO-NWC-S-P-H	1.0000	382.5000	5038	5600
6553	2023-01-16	wc-completed	Dumru/Dumroo Indian Handmade Percussion Instrument - Large	Dumru/Dumroo Indian Handmade Percussion Instrument		1.0000	336.0000	5740	6067
6633	2023-01-22	wc-completed	Copper Tongue Cleaner - Pack of 1	Copper Tongue Cleaner	TC-R-1	1.0000	7.9900	5042	5601
6634	2023-01-22	wc-completed	Ceramic Jala Neti Pot - Green	Jala Neti Pot - Ceramic 185 ml		1.0000	220.5000	5769	5770
6798	2023-02-13	wc-completed	Printed Copper Water Bottles	Artistically Designed Copper Bottles		1.0000	1110.0000	6007	6256
7015	2023-03-01	wc-completed	Copper Bottle - 7 Chakras Vintage - With Brush	7 Chakras Vintage - Copper Bottle		1.0000	1399.0000	5682	5787
7119	2023-03-16	wc-completed	Ceramic Jala Neti Pot - Blue	Jala Neti Pot - Ceramic 185 ml	NP-B-185	1.0000	220.5000	5769	6918
7175	2023-03-22	wc-completed	Ceramic Jala Neti Pot - Blue	Jala Neti Pot - Ceramic 185 ml	NP-B-185	1.0000	220.5000	5769	6918
7175	2023-03-22	wc-completed	Ceramic Jala Neti Pot - Lemon Yellow	Jala Neti Pot - Ceramic 185 ml	NP-LY-185	1.0000	220.5000	5769	6335
7225	2023-04-02	wc-completed	Printed Copper Water Bottles	Artistically Designed Copper Bottles		1.0000	1149.0000	6007	6250
7237	2023-04-29	wc-completed	Yoga Blanket Made from Organic Cotton - Natural White	Yoga Blanket made from Organic Cotton	Yo-BT-C-NT	1.0000	1079.1000	6668	6688
7240	2023-05-01	wc-completed	Neem Wood Combs - Combo 3	Neem Wood Combs	CO-NWC-S-P-H	1.0000	11.6900	5038	5600
7240	2023-05-01	wc-completed	Copper Tongue Cleaner - Ring type pack of 4	Copper Tongue Cleaner	TC-R-1	1.0000	6.7000	5042	6324
7240	2023-05-01	wc-completed	Copper Tongue Cleaner - Pack of 2	Copper Tongue Cleaner	TC-R-1	1.0000	9.8900	5042	5602
7240	2023-05-01	wc-completed	Eco-Friendly Neem Wood Toothbrush - Pack of 4	Eco-Friendly Neem Wood Toothbrush	NTB-4	1.0000	10.7900	5037	5605
7240	2023-05-01	wc-completed	Grooved & Hammered Copper Water Bottles	Grooved, Hammered & Plain Copper Bottle		1.0000	17.0900	6071	6272
7240	2023-05-01	wc-completed	Grooved & Hammered Copper Water Bottles	Grooved, Hammered & Plain Copper Bottle		1.0000	17.0900	6071	6270
7240	2023-05-01	wc-completed	Grooved & Hammered Copper Water Bottles	Grooved, Hammered & Plain Copper Bottle		1.0000	17.0900	6071	6268
7240	2023-05-01	wc-completed	Ayurvedic Copper Bedroom Jar	Ayurvedic Copper Bedroom Jar	CB-BJ	1.0000	22.4900	6289	0
7256	2023-05-30	wc-completed	Engraved Copper Water Bottles	7 Chakras Copper Water Bottles		1.0000	1399.0000	6080	6259
7259	2023-06-01	wc-completed	Yoga Belt for Sturdy Grip - Navy Blue	Yoga Belt/Strap for Sturdy Grip	Yo-BL-D-NB	1.0000	329.0000	6530	6548
7259	2023-06-01	wc-completed	Natural Organic Cotton Yoga Mat			1.0000	1250.0000	6653	0
7272	2023-06-24	wc-completed	Ceramic Jala Neti Pot - Lemon Yellow	Jala Neti Pot - Ceramic 185 ml	NP-LY-185	2.0000	19.9800	5769	6335
7272	2023-06-24	wc-completed	Copper Tongue Cleaner - Pack of 1	Copper Tongue Cleaner	TC-R-1	2.0000	15.9800	5042	5601
7279	2023-07-15	wc-completed	Printed Copper Water Bottles	Artistically Designed Copper Bottles		1.0000	1149.0000	6007	6250
7281	2023-07-21	wc-completed	Zafu & Zabuton Meditation Cushion Combo - Navy Blue	Zafu & Zabuton Meditation Cushion Combo	CO-Me-Zf-Zn-C-NB	1.0000	1900.0000	7177	7186
7292	2023-08-02	wc-completed	Coconut Rattle	Coconut Rattle	MI-CR	1.0000	850.0000	5730	0
