Product Name,Slug,SKU,Is Default Variant,INR Sale,INR MRP,USD Sale,GBP Sale,Missing Zones,Listing Card Affected (US),Listing Card Affected (GB),Product URL,Admin Edit
8 Keys Wooden Xylophone,8-keys-wooden-xylophone,woo-42340,Yes,7850.0,10205.0,,351.0,USD,Yes,No,https://sarveda-demo.xyz/product/8-keys-wooden-xylophone,https://sarveda-demo.xyz/admin/products/eb30d779-a98f-4b1e-be1b-74a4c3c5ebc3
Caxixi,caxixi,Mi-CX-M-N,Yes,1350.0,1755.0,,60.0,USD,Yes,No,https://sarveda-demo.xyz/product/caxixi,https://sarveda-demo.xyz/admin/products/d78e8763-f755-4a9c-8b6b-55f36a7de59d
Extra Large Meridian Singing Bowls,extra-large-meridian-singing-bowls,Mi-SB-MD-P-26,No,99500.0,104500.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/extra-large-meridian-singing-bowls,https://sarveda-demo.xyz/admin/products/ec0c53e8-737d-4d26-85ff-c1db9005e692
Gong Stand,gong-stand,woo-var-45296,No,8450.0,9000.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/gong-stand,https://sarveda-demo.xyz/admin/products/42148693-cf74-401e-b811-dd341a7c26c3
Kenari Bracelet,kenari-bracelet,MI-KR-BT,Yes,1350.0,1755.0,,60.0,USD,Yes,No,https://sarveda-demo.xyz/product/kenari-bracelet,https://sarveda-demo.xyz/admin/products/73f30d1a-03b0-4e37-b87a-50556dda34be
Plain/Wind Tibetan Gong,plain-wind-tibetan-gong,MI-G-P-22,No,22500.0,29250.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/plain-wind-tibetan-gong,https://sarveda-demo.xyz/admin/products/a1d5d588-ebda-47bf-8ce3-ec6498dd7352
Pulse Tubes,pulse-tubes,woo-var-48760,Yes,2850.0,3250.0,,128.0,USD,Yes,No,https://sarveda-demo.xyz/product/pulse-tubes,https://sarveda-demo.xyz/admin/products/584ffe9e-3fc4-4b87-b93d-30e5bc9a451c
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,MI-SB-P-BK-4,No,1545.0,2009.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/singing-bowls-with-sacred-mantra-printed,https://sarveda-demo.xyz/admin/products/5b3ae8bb-3a22-4edc-9623-d7d236fff3c9
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,MI-SB-P-BK-5.5,No,1995.0,2594.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/singing-bowls-with-sacred-mantra-printed,https://sarveda-demo.xyz/admin/products/5b3ae8bb-3a22-4edc-9623-d7d236fff3c9
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,MI-SB-P-G-4,No,1545.0,2009.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/singing-bowls-with-sacred-mantra-printed,https://sarveda-demo.xyz/admin/products/5b3ae8bb-3a22-4edc-9623-d7d236fff3c9
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,MI-SB-P-R-4,No,1545.0,2009.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/singing-bowls-with-sacred-mantra-printed,https://sarveda-demo.xyz/admin/products/5b3ae8bb-3a22-4edc-9623-d7d236fff3c9
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,MI-SB-P-W-5.5,No,1995.0,2594.0,,,"USD, GBP",No,No,https://sarveda-demo.xyz/product/singing-bowls-with-sacred-mantra-printed,https://sarveda-demo.xyz/admin/products/5b3ae8bb-3a22-4edc-9623-d7d236fff3c9
