excel_sku,db_sku,excel_name,product_name,attrs,slug
CB-7CP,CB-7CP,Sarveda 7 Chakra Plain Copper Water Bottlle 1 Litre,7 Chakras Copper Water Bottles,"7 Chakras Plain, Without Brush, 1L",7-chakras-copper-water-bottles
CB-7CV,CB-7CV,Sarveda 7 Chakra Vintage Copper Water Bottle | 1 Litre,7 Chakras Copper Water Bottles,"Without Brush, 1L, 7 Chakras Vintage",7-chakras-copper-water-bottles
CB-CDG,CB-CDG,Sarveda Curved Diamond Groove Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Diamond Groove, Without Brush, Gold",grooved-hammered-plain-copper-bottle
CB-CP,CB-CP,Sarveda Curved Plain Copper Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Without Brush, Gold, Curved",grooved-hammered-plain-copper-bottle
CB-CV,CB-CV,Sarveda Curved Vintage Copper Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Without Brush, Curved, Vintage",grooved-hammered-plain-copper-bottle
CB-CVDG,CB-CVDG,Sarveda Curved Vintage Diamond Groove Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Diamond Groove, Without Brush, Vintage",grooved-hammered-plain-copper-bottle
CB-CPH,CB-CPH,Sarveda Curved Plain Hammered Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Without Brush, Gold, Hammered",grooved-hammered-plain-copper-bottle
CB-CVH,CB-CVH,Sarveda Curved Vintage Hammered Water Bottle | 1 Litre,"Grooved, Hammered & Plain Copper Bottle","Without Brush, Curved Hammered, Vintage",grooved-hammered-plain-copper-bottle
CB-T,CB-T,Sarveda Copper Water Bottle | Tattvamasi | 1 Litre,Artistically Designed Copper Bottles,"Tatvamasi - I am Infinite, Without Brush, 1L",artistically-designed-copper-bottles
CB-HW,CB-HW,Sarveda Copper Water Bottle | True Happiness Lies Within | 1 Litre,Artistically Designed Copper Bottles,"Without Brush, 1L, Happiness is inside",artistically-designed-copper-bottles
CB-BM,CB-BM,Sarveda Copper Water Bottle | Blue Meditation | 1 Litre,Artistically Designed Copper Bottles,"Without Brush, 1L, Blue Tranquillity",artistically-designed-copper-bottles
CB-OL,CB-OL,Sarveda Copper Water Bottle | Orange Light | 1 Litre,Artistically Designed Copper Bottles,"Without Brush, Sunshine within me, 1L",artistically-designed-copper-bottles
CB-PNT,CB-PNT,Sarveda Copper Water Bottle | Pink Noble Thoughts | 1 Litre,Artistically Designed Copper Bottles,"Without Brush, Pink & Positive, 1L",artistically-designed-copper-bottles
