excel_sku,current_db_sku,excel_name,product_name,attrs,match_score,slug,variant_id
MI-AS-P,woo-var-45395,Asalato Shaker Painted,Coconut Maracas Shakers,Painted,78.0,coconut-maracas-shakers,e7ed3f61-3ce2-48ee-acaa-06cd3fc7ebbe
CC,woo-45533,Conscious Cards,Conscious Cards,,100,conscious-cards,14ece29e-3f55-4248-a3ec-c99ed557f2d8
GP-CB-7C-V-2G,woo-var-48680,Sarveda 7 Chakra Vintage Copper Water Bottle with 2 Glasses | Set,Copper Bottle Gift Set - 7 Chakra,Vintage,72.8,copper-bottle-gift-set-7-chakra,dd11e5e7-bbbd-4acc-8fec-64031bbed68f
MI-SB-P-SS-GD-5.5,woo-var-48679,"Sacred Symbol Gold-5.5""",Copper Bottle Gift Set - 7 Chakra,Gold,74.5,copper-bottle-gift-set-7-chakra,0c05c8f3-7e66-40de-a3f5-e43fb1b76419
TC-S-1,woo-var-7808,Sarveda Ayurvedic Copper Tongue Cleaner | Straight | Pack of 1,Copper Tongue Cleaner,"Straight, pack-of-1",87.2,copper-tongue-cleaner,0f4dcaac-31f3-4244-adfc-1b1a853dddee
MI-Gg-S-L- D,woo-var-45299,Gong Stand - Large Dark,Gong Stand,"Large, Dark",100,gong-stand,b64aeef1-7dee-4d3f-8e5c-92ffad358dea
MI-Gg-S-S-D,woo-var-45297,Gong Stand - Small Dark,Gong Stand,"Small, Dark",100,gong-stand,47f0ad96-08e9-4023-a733-0cab38f5f53b
MI-Gg-S-L- L,woo-var-45296,Gong Stand - Large Light,Gong Stand,"Large, Light",100,gong-stand,5e59713f-32ff-4604-8feb-713b09533ce4
MI-KR-CH-P,woo-var-45020,Kenari Chimes-Professional,Harmonium,Professional,81.5,harmonium,468e9037-f325-43c8-a962-55230acd53da
MI-HM-PP,woo-var-45021,Harmonium - Professional Portable,Harmonium,Compact,77.3,harmonium,bd6c4ace-f40d-4d3e-abec-11772bc3ed00
MI-PT-S,woo-var-48762,Pulse Tubes- Small,Pulse Tubes,Small,100,pulse-tubes,611ebf5f-64b7-41c2-9a62-4769868375f1
MI-PT-M,woo-var-48761,Pulse Tubes - Medium,Pulse Tubes,Medium,100,pulse-tubes,f29a37c5-742f-4f04-b280-031971df0be0
MI-PT-L,woo-var-48760,Pulse Tubes - Large,Pulse Tubes,Big,86.2,pulse-tubes,9e16fab4-d2fe-42da-a342-4b4f95424c83
Yo-BR-RE-GY,Yo-BR-RE-LG,Sarveda Rectangular Yoga Bolster filled with Cotton | Grey,Rectangular Yoga Bolster,Light Grey,80.7,rectangular-yoga-bolster,06bd5644-3d9e-4262-829e-e84bb8c4016e
MI-SH-S,woo-var-45450,Shankh/Conch - Small,Shankh/Conch,Small,100,shankh-conch,b65b51af-cda2-491c-b6a0-9ac5bea2ea9a
MI-SH-M,woo-var-45451,Shankh/Conch - Medium,Shankh/Conch,Medium,100,shankh-conch,9ec79a70-9556-41c0-af79-793eacfb80fd
MI-SH-L,woo-var-45452,Shankh/Conch - Large,Shankh/Conch,Large,100,shankh-conch,0ed6f5ab-cce2-4d70-8fad-1733abcac1be
Mi-Gg-P-C,woo-var-45488,Gong Plate C note,Shruthi Thali/Gong Plates,G Plate,80.3,shruthi-thali-gong-plates,bde7506e-ffd7-4643-88a6-b94e9f99044b
MI-SHB-O1,woo-var-45003,Shruti Box- 1 Octave,Shruti Box,1 Octave,100,shruti-box,43ef3831-40a1-41cd-b83a-397e2bf1fbf2
MI-SHB-O2,woo-var-45004,Shruti Box- 2 Octave,Shruti Box,2 Octaves,93.8,shruti-box,5d310595-7dcf-4eb6-bfe9-20d0bd67933b
MI-SHB-O3,woo-var-45005,Shruti Box- 3 Octave,Shruti Box,3 Octaves,93.8,shruti-box,3bfb2ba3-4688-44be-a3a8-4d942676cb17
