excel_sku,excel_name,candidates
GP-CB-7C-C-2G,Sarveda 7 Chakra Plain Copper Water Bottle with 2 Glasses | Set,"[(72.04918032786885, 'Wooden Maracas Shakers | Plain & Dot Painted', 'woo-var-44153', ['Plain']), (72.04918032786885, 'Coconut Maracas Shakers', 'woo-var-45394', ['Plain']), (72.04918032786885, 'Dumru/Dumroo Indian Handmade Percussion Instrument', 'woo-var-47720', ['Plain'])]"
SSS,Stainless Steel Straws Straight,"[(87.74193548387098, 'Stainless Steel Straws', 'SSS-2', ['pack-of-2']), (87.74193548387098, 'Stainless Steel Straws', 'SSS-4', ['pack-of-4'])]"
SSB,Stainless Steel Straws Bent,"[(90.37037037037037, 'Stainless Steel Straws', 'SSS-2', ['pack-of-2']), (90.37037037037037, 'Stainless Steel Straws', 'SSS-4', ['pack-of-4'])]"
TC-S- FD,Sarveda Ayurvedic Copper Tongue Cleaner | Straight | Pack of 1 FDA Approed,"[(77.5, 'Copper Tongue Cleaner', 'woo-var-7807', ['Ring', 'pack-of-1']), (77.5, 'Copper Tongue Cleaner', 'woo-var-7809', ['Ring', 'pack-of-2']), (77.5, 'Copper Tongue Cleaner', 'woo-var-7810', ['Straight', 'pack-of-2'])]"
Me-SH-SE-BP,Meditation Shawl - Silk Eri-White Blue Pattern with cotton bag,"[(74.16666666666667, '7 Chakras Moderate Grip Yoga Mat', 'woo-var-8436', ['White', 'Blue']), (71.66666666666667, 'Tuning Forks Gem Feet', 'woo-var-48141', ['Blue'])]"
Yo-MC-MS-Gy,Macarame Yoga Mat Strap | Grey,"[(73.57142857142857, 'Eye Shaped Natural Lavender Scented Eye Pillows', 'Yo-P-E-GY-1', ['Grey']), (73.57142857142857, 'Zafu & Zabuton Meditation Cushion Combo', 'CO-Me-Zf-Zn-C-GY', ['Grey']), (73.57142857142857, 'Zafu Meditation Cushion Plain Filled with Cotton', 'Me-Z-R-C-GY', ['Grey'])]"
Yo-P-E-BE,"Sarveda Lavender Scented Eye Pillows for Yoga, Meditation and Relaxation | Beige","[(72.59740259740259, 'Crescent Zafu Cushion - Compact', 'woo-var-47524', ['Lavender']), (72.59740259740259, 'Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery', 'Co-Me-C-Z-Zn-LR-E-L', ['Lavender']), (72.59740259740259, 'Zafu & Zabuton Meditation Cushion Combo', 'Co-Me-C-Z-Zn-LR', ['Lavender'])]"
Me-Z-R-DG,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton |Dark Grey,"[(73.0, 'Crescent Zafu Cushion - Compact', 'woo-var-47522', ['Dark Grey']), (73.0, 'Eye Shaped Natural Lavender Scented Eye Pillows', 'Yo-P-E-DG-1', ['Dark Grey']), (73.0, 'Zafu Meditation Cushion Plain Filled with Cotton', 'Me-Z-R-C-DG', ['Dark Grey'])]"
Me-Z-R- MB,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton | Misty blue,"[(73.28947368421052, 'Crescent Zafu Cushion - Compact', 'woo-var-47523', ['Misty Blue']), (73.28947368421052, 'Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery', 'Co-Me-C-Z-Zn-MB-E-L', ['Misty Blue']), (73.28947368421052, 'Zafu & Zabuton Meditation Cushion Combo', 'Co-Me-C-Z-Zn-MB', ['Misty Blue'])]"
Me-Z-R-GY,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton | Grey,"[(71.42857142857143, 'Eye Shaped Natural Lavender Scented Eye Pillows', 'Yo-P-E-GY-1', ['Grey']), (71.42857142857143, 'Zafu & Zabuton Meditation Cushion Combo', 'CO-Me-Zf-Zn-C-GY', ['Grey']), (71.42857142857143, 'Zafu Meditation Cushion Plain Filled with Cotton', 'Me-Z-R-C-GY', ['Grey'])]"
