excel_sku,excel_name
CB-7CV-H,7 chakras Vintage With Handle -1ltr
CB-7CP-H,7 chakras Copper With Handle
NWC-H,Sarveda NeemWood Comb - Handle
NWC-S,Sarveda NeemWood Comb - Straight
NWC-P,Sarveda NeemWood Comb - Pocket Size
NTB-1,Sarveda Neem Toothbrush - Pack of 1
SSS-CB,Sarveda Steel Straws Cleaning Brush
Yo-BR-R-BW,Sarveda Yoga Bolster filled with Cotton | Brown
Me-SH-SE-LB,Meditation Shawl - Silk Eri- Light Brown with cotton bag
Me-SH-SE-W,Meditation Shawl - Silk Eri- White with cotton bag
Yo-MC-MS-W,Macarame Yoga Mat Strap | White
Yo-MC-MS-Y,Macarame Yoga Mat Strap | Yellow
Yo-M-C-MG-G-27,"Yoga Mat- Chakras- Moderate Grip - Green -27"""
Yo-M-C-MG-P-27,"Yoga Mat-Chakras- Moderate Grip Pink-27"""
Yo-M-L-MG-B-27,"Yoga Mat- Lotus- Moderate Grip Blue-27"""
Yo-M-L-MG-O-27,"Yoga Mat- Lotus- Moderate Grip -Orange-27"""
Yo-M-L-MG-G-27,"Yoga Mat- Lotus- Moderate Grip -Green-27"""
Yo-M-L-MG-P-27,"Yoga Mat-Lotus- Moderate Grip Pink-27"""
Yo-M-P-MG-B-27,"Yoga Mat-Moderate Grip Blue-27"""
Yo-M-P-MG-O-27,"Yoga Mat- Moderate Grip Orange-27"""
Yo-M-P-MG-G-27,"Yoga Mat- Moderate Grip Green-27"""
Yo-M-P-MG-P-27,"Yoga Mat- Moderate Grip -Pink-27"""
Yo-M-C-HG-B,Yoga Mat- Chakras- High Grip - Blue
Yo-M-C-HG-O,Yoga Mat- Chakras- High Grip - Orange
Yo-M-C-HG-G,Yoga Mat- Chakras- High Grip - Green
Yo-M-C-HG-P,Yoga Mat-Chakras- High Grip Pink
Yo-M-C-HG-Y,Yoga Mat- Chakras- High Grip -Yellow
Yo-M-C-HG-T,Yoga Mat-Chakras- High Grip -Teal
Yo-M-L-HG-B,Yoga Mat- Lotus- High Grip Blue
Yo-M-L-HG-O,Yoga Mat- Lotus- High Grip -Orange
Yo-M-L-HG-G,Yoga Mat- Lotus- High Grip -Green
Yo-M-L-HG-P,Yoga Mat-Lotus- High Grip Pink
Yo-M-L-HG-Y,Yoga Mat- Lotus- High Grip Yellow
Yo-M-L-HG-T,Yoga Mat-Lotus- High Grip Teal
Yo-M-P-HG-B,Yoga Mat- High Grip Blue
Yo-M-P-HG-O,Yoga Mat- High Grip Orange
Yo-M-P-HG-G,Yoga Mat- High Grip Green
Yo-M-P-HG-P,Yoga Mat- High Grip -Pink
Yo-M-P-HG-Y,Yoga Mat- High Grip Yellow
Yo-M-P-HG-T,Yoga Mat- High Grip Teal
Me-z-R-L,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton | Lavendar
Me-Z-R-RP,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton | Rough Pink
Me-Z-R-O,Sarveda Round Zafu Meditation and Yoga Cushion | Filled with Cotton | Orange
Me-C-Z-O,Sarveda Crescent Zafu Meditation and Yoga Cushion | Filled with Cotton | Orange
Me-C-Z-MG,Sarveda Crescent Zafu Meditation and Yoga Cushion | Filled with Cotton | Magenta
Me-C-Z-GY,Sarveda CrescentZafu Meditation and Yoga Cushion | Filled with Cotton | Gray
Me-C-Z-RP,Sarveda CrescentZafu Meditation and Yoga Cushion | Filled with Cotton | Rouge Pink
Me-C-Zn-RP,Zabuton -Cushion -Rouge Pink
ME- Be -H,Meditation Bench High
ME- Be -S,Meditation Bench Standard
ME- Be-L,Meditation Bench Low
ME-Cu,Meditation Bench Cushion
ME-Bg,Meditation Bench Bag
IS-S,Incense Sticks Stand
MI-CM,Sarveda Handcrafted Coconut Maracas
MI-WM-P,Wooden Maracas Shaker Dotted Paint
MI-KR-S-H,Kenari Seed Shaker with Handle
MI-KR-CH-S,Kenari Chimes-Standard
MI-AS,Asalato Shaker
MI-SR,Sea Rattle
MI-BR,Bendo rattle
MI-KCS-EN,Sarveda Kalimba 7 keys- Engraved
Mi-KCS-16,Kalimba 16 Keys
MI-TWD,Spin/Twist Drum - Den Den Daiko
MI-TD-6.3-W,Tongue Drum-6.3 inches- White
MI-RS-B-1M,Rainstick 1M
MI-RS-B-80,Rainstick 80 CM
MI-RS-B-60,Rainstick 60 CM
MI-RS-B-40,Rainstick 40 CM
MI-TT-20,Thunder Tube-20cm
MI-TT-25,Thunder Tube-25cm
MI-TT-30,Thunder Tube-30cm
MI-SB-P-SS-GD-4,"Sacred Symbol Gold -4"""
MI-SB-P-SS-GD-3.5,"|Sacred Symbol Gold-3.5"""
MI-CB-C-6,"Crystal Bowl- Color 6"""
MI-CB-C-7,"Crystal Bowl- Color 7"""
MI-CB-C-8,"Crystal Bowl- Color 8"""
MI-CB-C-9,"Crystal Bowl- Color 9"""
MI-CB-C-10,"Crystal Bowl- Color 10"""
MI-CB-C-11,"Crystal Bowl- Color 11"""
MI-CB-C-12,"Crystal Bowl- Color 12"""
MI-CB-C-13,"Crystal Bowl- Color13"""
MI-CB-C-14,"Crystal Bowl- Color 14"""
MI-CB-CL-6-12 -Set,"Crystal Bowl set - 6-12"" - Chakra Coloured"
MI-CB-W-6-12 -Set,"Crystal Bowl set - 6-12"" - White"
MI-CB-W-8-14 -Set,"Crystal Bowl Set 8-14"" - White"
Co-CB-CG-BG,CG perfect Fifth Crystal with bag
MI-SB-H-ET-O-C-14,"Singing Bowls Handmade Etched -Om-Chakras -14"""
MI-SB-H-ET-O-C-13,"Singing Bowls Handmade Etched -Om-Chakras -13"""
MI-SB-Z-HM-12,"Singing Bowls Zen Handmade Singing Bowls-12"""
MI-SB-Z-HM-11,"Singing Bowls Zen Handmade Singing Bowls-11"""
MI-SB-Z-HM-10,"Singing Bowls Zen Handmade Singing Bowls-10"""
MI-SB-Z-HM-9,"Singing Bowls Zen Handmade Singing Bowls-9"""
MI-SB-Z-HM-8,"Singing Bowls Zen Handmade Singing Bowls-8"""
MI-SB-Z-HM-7,"Singing Bowls Zen Handmade Singing Bowls-7"""
MI-SB-Z-HM-6,"Singing Bowls Zen Handmade Singing Bowls-6"""
Mi-SB-H-P-24,"Singing Bowls Handmade Polished -24"""
Mi-SB-H-P-22,"Singing Bowls Handmade Polished -22"""
Mi-SB-H-P-20,"Singing Bowls Handmade Polished -20"""
Mi-SB-H-P-18,"Singing Bowls Handmade Polished -18¯"""
Mi-SB-H-P-16,"Singing Bowls Handmade Polished -16"""
Mi-SB-H-P-14,"Singing Bowls Handmade Polished -14"""
Mi-SB-H-P-13,"Singing Bowls Handmade Polished -13"""
Mi-SB-H-P-4,"Singing Bowls Handmade Polished-4"""
Mi-SB-H-I-B-G-14,"Singing Bowls Handmade Ishana - Black -Gold-14"""
Mi-SB-H-I-B-G-13,"Singing Bowls Handmade Ishana - Black -Gold-13"""
Mi-SB-H-I-B-G-12,"Singing Bowls Handmade Ishana - Black -Gold-12"""
Mi-SB-H-I-B-G-11,"Singing Bowls Handmade Ishana - Black -Gold-11"""
Mi-SB-H-I-B-G-10,"Singing Bowls Handmade Ishana - Black -Gold-10"""
Mi-SB-H-I-B-G-9,"Singing Bowls Handmade Ishana - Black -Gold-9"""
Mi-SB-H-I-B-G-8,"Singing Bowls Handmade Ishana - Black -Gold-8"""
Mi-SB-H-I-B-G-7,"Singing Bowls Handmade Ishana - Black -Gold-7"""
Mi-SB-H-I-B-G-6,"Singing Bowls Handmade Ishana - Black -Gold-6"""
MI-SB-H-ET-T-20,"Singing Bowls Handmade Etched -Tara-20"""
MI-SB-H-ET-T-18,"Singing Bowls Handmade Etched -Tara-18"""
MI-SB-H-ET-T-16,"Singing Bowls Handmade Etched -Tara-16"""
MI-SB-H-ET-T-14,"Singing Bowls Handmade Etched -Tara-14"""
MI-SB-H-ET-T-13,"Singing Bowls Handmade Etched -Tara-13"""
MI-SB-H-ET-BE-20,"Singing Bowls Handmade Etched - Buddha's Eyes- 20"""
MI-SB-H-ET-BE-18,"Singing Bowls Handmade Etched - Buddha's Eyes-18"""
MI-SB-H-ET-BE-16,"Singing Bowls Handmade Etched - Buddha's Eyes-16"""
MI-SB-H-ET-BE-14,"Singing Bowls Handmade Etched - Buddha's Eyes-14"""
MI-SB-H-ET-BE-13,"Singing Bowls Handmade Etched -Buddha's Eyes--13"""
MI-SB-H-ET-M-20,"Singing Bowls Handmade Etched Mantra-20"""
MI-SB-H-ET-M-18,"Singing Bowls Handmade Etched Mantra-18"""
MI-SB-H-ET-M-16,"Singing Bowls Handmade Etched Mantra-16"""
MI-SB-H-ET-M-14,"Singing Bowls Handmade Etched Mantra-14"""
MI-SB-H-ET-M-13,"Singing Bowls Handmade Etched Mantra-13"""
MI-SB-H-ET-M-12,"Singing Bowls Handmade Etched Mantra-12"""
MI-SB-H-ET-M-11,"Singing Bowls Handmade Etched Mantra-11"""
MI-SB-H-ET-M-10,"Singing Bowls Handmade Etched Mantra-10"""
MI-SB-H-ET-M-9,"Singing Bowls Handmade Etched Mantra-9"""
MI-SB-H-ET-M-8,"Singing Bowls Handmade Etched Mantra-8"""
MI-SB-H-ET-M-7,"Singing Bowls Handmade Etched Mantra-7"""
MI-SB-H-ET-M-6,"Singing Bowls Handmade Etched Mantra-6"""
MI-SB-H-FM-22,"Singing Bowls Handmade Full moon -22"""
MI-SB-H-FM-20,"Singing Bowls Handmade Full moon -20"""
MI-SB-H-FM-18,"Singing Bowls Handmade Full moon -18"""
MI-SB-H-FM-16,"Singing Bowls Handmade Full moon -16"""
MI-SB-H-FM-14,"Singing Bowls Handmade Full moon - 14"""
MI-SB-H-FM-4,"Singing Bowls Handmade Full moon 4"""
MI-SB-H-AE-11,"Singing Bowls Handmade Antique-11"""
MI-SB-H-AE-10,"Singing Bowls Handmade Antique-10"""
MI-SB-H-AE-9,"Singing Bowls Handmade Antique - 9"""
MI-SB-H-AE-8,"Singing Bowls Handmade Antique - 8"""
MI-SB-H-AE-7,"Singing Bowls Handmade Antique -7"""
MI-SB-H-AE-6,"Singing Bowls Handmade Antique -6"""
MI-SB-H-LM-11,"Singing Bowls Handmade Lingam-11"""
MI-SB-H-LM-10,"Singing Bowls Handmade Lingam-10"""
