db_sku,product_name,attrs,slug,variant_id
woo-var-42410,11 Note Tongue Drum,"10 inches, White",11-note-tongue-drum,7cc6c896-7a21-46b3-b71e-8a870898b93e
woo-var-42411,11 Note Tongue Drum,"12 inches, White",11-note-tongue-drum,fbcec161-3edc-463a-a7d9-2dd107e4d3ce
woo-var-42412,11 Note Tongue Drum,"6 inches, White",11-note-tongue-drum,160130ae-ad7a-4539-9eba-beb394c75f0a
woo-var-42413,11 Note Tongue Drum,"8 inches, White",11-note-tongue-drum,22965875-ab88-4d5a-8de8-9e4ce5682768
woo-var-42414,11 Note Tongue Drum,"10 inches, Blue",11-note-tongue-drum,71f0121b-1cef-4ab4-9c72-76998d3f1439
woo-var-42415,11 Note Tongue Drum,"12 inches, Blue",11-note-tongue-drum,265bda1a-668f-419b-ade4-5444674454ee
woo-var-42416,11 Note Tongue Drum,"6 inches, Blue",11-note-tongue-drum,2301584b-2306-4a49-bf28-7cb9987211d2
woo-var-42417,11 Note Tongue Drum,"8 inches, Blue",11-note-tongue-drum,41241c90-50fa-4f63-a955-3125fa9547df
woo-var-48728,7 Chakra Morchang Set,C Tune,7-chakra-morchang-set,c05389be-13a9-4173-829a-1e37cc8429cb
woo-var-48729,7 Chakra Morchang Set,D Tune,7-chakra-morchang-set,2d9b1358-c49a-4222-b31c-e0045b46f771
woo-var-48730,7 Chakra Morchang Set,E Tune,7-chakra-morchang-set,7da1537b-8314-4261-b88d-6faccb0011be
woo-var-48731,7 Chakra Morchang Set,F Tune,7-chakra-morchang-set,408db62c-be7d-4ffa-a606-a4a8bd3b53d9
woo-var-48732,7 Chakra Morchang Set,G Tune,7-chakra-morchang-set,7774013b-81d8-4c24-88b9-21d4b5ca0a73
woo-var-48733,7 Chakra Morchang Set,A Tune,7-chakra-morchang-set,e611ae26-a719-4900-8c4a-7f6061f5baaa
woo-var-48734,7 Chakra Morchang Set,B Tune,7-chakra-morchang-set,be239ede-794e-4ef7-acf0-57bc9b455aeb
woo-var-48736,7 Chakra Morchang Set,Full Set,7-chakra-morchang-set,5209cf4a-8130-49a2-8213-63f8407567f4
CB-7CP-B-.5,7 Chakras Copper Water Bottles,"7 Chakras Plain, With Brush, 500ml",7-chakras-copper-water-bottles,41486a94-1d3b-4289-8f65-c72aa7193671
CB-7CP-B,7 Chakras Copper Water Bottles,"7 Chakras Plain, 1L, With Brush",7-chakras-copper-water-bottles,fac07400-34d6-4742-9419-16dd85f37d10
CB-7CV-B,7 Chakras Copper Water Bottles,"1L, 7 Chakras Vintage, With Brush",7-chakras-copper-water-bottles,630cfde3-f1bb-49b8-9345-894edc026720
CB-7CV-B-.5,7 Chakras Copper Water Bottles,"7 Chakras Vintage, With Brush, 500ml",7-chakras-copper-water-bottles,515c45e1-bac8-4e9b-94ab-91fec92230d6
