excel_sku,excel_name,db_sku,product_name,attrs,slug,variant_id,match_method
CB-7CP,Sarveda 7 Chakra Plain Copper Water Bottlle 1 Litre,CB-7CP,7 Chakras Copper Water Bottles,[],7-chakras-copper-water-bottles,45d9981b-b467-4cc1-a187-4ad6042e14ee,sku_exact
CB-7CV,Sarveda 7 Chakra Vintage Copper Water Bottle | 1 Litre,CB-7CV,7 Chakras Copper Water Bottles,[],7-chakras-copper-water-bottles,806512cb-2a81-4a35-aa5e-e983bf58fe4a,sku_exact
CB-CDG,Sarveda Curved Diamond Groove Water Bottle | 1 Litre,CB-CDG,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,e82dea2f-ce96-4e23-bcb3-2ba19b3a8467,sku_exact
CB-CP,Sarveda Curved Plain Copper Water Bottle | 1 Litre,CB-CP,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,5492f297-e60f-4f3a-b6e3-17f6cdda10c4,sku_exact
CB-CV,Sarveda Curved Vintage Copper Water Bottle | 1 Litre,CB-CV,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,5674619d-ee39-4167-a104-f265a9d63fe5,sku_exact
CB-CVDG,Sarveda Curved Vintage Diamond Groove Water Bottle | 1 Litre,CB-CVDG,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,75391b29-cc1e-4d54-9940-a727d121fb38,sku_exact
CB-CPH,Sarveda Curved Plain Hammered Water Bottle | 1 Litre,CB-CPH,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,8bbbb929-8632-43f7-8cbb-96efc2fdcf5a,sku_exact
CB-CVH,Sarveda Curved Vintage Hammered Water Bottle | 1 Litre,CB-CVH,"Grooved, Hammered & Plain Copper Bottle",[],grooved-hammered-plain-copper-bottle,b439762b-3837-4fb4-abbb-ecaf080c535b,sku_exact
CB-T,Sarveda Copper Water Bottle | Tattvamasi | 1 Litre,CB-T,Artistically Designed Copper Bottles,[],artistically-designed-copper-bottles,bb5bdd81-921a-448e-9e78-c5b860a4b4b4,sku_exact
CB-HW,Sarveda Copper Water Bottle | True Happiness Lies Within | 1 Litre,CB-HW,Artistically Designed Copper Bottles,[],artistically-designed-copper-bottles,ed4be184-53cb-4a57-8799-9a845f009182,sku_exact
CB-BM,Sarveda Copper Water Bottle | Blue Meditation | 1 Litre,CB-BM,Artistically Designed Copper Bottles,[],artistically-designed-copper-bottles,80668a80-8d97-45b9-9818-f990884fb727,sku_exact
CB-OL,Sarveda Copper Water Bottle | Orange Light | 1 Litre,CB-OL,Artistically Designed Copper Bottles,[],artistically-designed-copper-bottles,f2c5495b-e9f3-4205-8437-eb068072a272,sku_exact
CB-PNT,Sarveda Copper Water Bottle | Pink Noble Thoughts | 1 Litre,CB-PNT,Artistically Designed Copper Bottles,[],artistically-designed-copper-bottles,e02c4544-4320-4ee5-9dbb-eb4d0cfb6ad5,sku_exact
