excel_sku,excel_name,best_score,best_guess
GP-CB-7C-V-2G,Sarveda 7 Chakra Vintage Copper Water Bottle with 2 Glasses | Set,45,
GP-CB-7C-C-2G,Sarveda 7 Chakra Plain Copper Water Bottle with 2 Glasses | Set,45,
CB-7CV-H,7 chakras Vintage With Handle -1ltr,66,7 Chakras Copper Water Bottles with Handle
NWC-H,Sarveda NeemWood Comb - Handle,25,
NWC-S,Sarveda NeemWood Comb - Straight,0,
NWC-P,Sarveda NeemWood Comb - Pocket Size,0,
NTB-1,Sarveda Neem Toothbrush - Pack of 1,33,
NP-G-185,Sarveda Ayurvedic Ceramic Jala Neti Pot for Nasal Cleansing | Green,40,
NP-Y-185,Sarveda Ayurvedic Ceramic Jala Neti Pot for Nasal Cleansing | Yellow,40,
SSS,Stainless Steel Straws Straight,75,Stainless Steel Straws
SSB,Stainless Steel Straws Bent,75,Stainless Steel Straws
SSS-CB,Sarveda Steel Straws Cleaning Brush,40,
TC-S-1,Sarveda Ayurvedic Copper Tongue Cleaner | Straight | Pack of 1,33,
TC-S- FD,Sarveda Ayurvedic Copper Tongue Cleaner | Straight | Pack of 1 FDA Approed,27,
Yo-BR-R-BW,Sarveda Yoga Bolster filled with Cotton | Brown,42,
Yo-BR-RE-GY,Sarveda Rectangular Yoga Bolster filled with Cotton | Grey,37,
Yo-BT-C-W,Sarveda Yoga Blanket | Organic Cotton | Natural White,57,
Me-SH-SE-LB,Meditation Shawl - Silk Eri- Light Brown with cotton bag,33,
Me-SH-SE-W,Meditation Shawl - Silk Eri- White with cotton bag,37,
Me-SH-SE-BP,Meditation Shawl - Silk Eri-White Blue Pattern with cotton bag,30,
Yo-MC-MS-W,Macarame Yoga Mat Strap | White,40,
Yo-MC-MS-Y,Macarame Yoga Mat Strap | Yellow,40,
Yo-MC-MS-Gy,Macarame Yoga Mat Strap | Grey,40,
Yo-P-E-BE,"Sarveda Lavender Scented Eye Pillows for Yoga, Meditation and Relaxation | Beige",36,
Yo-M-C-MG-B-27,"Yoga Mat- Chakras- Moderate Grip - Blue -27""",71,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-MG-O-27,"Yoga Mat- Chakras- Moderate Grip - Orange -27""",71,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-MG-G-27,"Yoga Mat- Chakras- Moderate Grip - Green -27""",71,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-MG-P-27,"Yoga Mat-Chakras- Moderate Grip Pink-27""",71,7 Chakras Moderate Grip Yoga Mat
Yo-M-L-MG-B-27,"Yoga Mat- Lotus- Moderate Grip Blue-27""",57,
Yo-M-L-MG-O-27,"Yoga Mat- Lotus- Moderate Grip -Orange-27""",57,
Yo-M-L-MG-G-27,"Yoga Mat- Lotus- Moderate Grip -Green-27""",57,
Yo-M-L-MG-P-27,"Yoga Mat-Lotus- Moderate Grip Pink-27""",57,
Yo-M-P-MG-B-27,"Yoga Mat-Moderate Grip Blue-27""",66,7 Chakras Moderate Grip Yoga Mat
Yo-M-P-MG-O-27,"Yoga Mat- Moderate Grip Orange-27""",66,7 Chakras Moderate Grip Yoga Mat
Yo-M-P-MG-G-27,"Yoga Mat- Moderate Grip Green-27""",66,7 Chakras Moderate Grip Yoga Mat
Yo-M-P-MG-P-27,"Yoga Mat- Moderate Grip -Pink-27""",66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-B,Yoga Mat- Chakras- High Grip - Blue,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-O,Yoga Mat- Chakras- High Grip - Orange,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-G,Yoga Mat- Chakras- High Grip - Green,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-P,Yoga Mat-Chakras- High Grip Pink,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-Y,Yoga Mat- Chakras- High Grip -Yellow,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-C-HG-T,Yoga Mat-Chakras- High Grip -Teal,66,7 Chakras Moderate Grip Yoga Mat
Yo-M-L-HG-B,Yoga Mat- Lotus- High Grip Blue,50,
Yo-M-L-HG-O,Yoga Mat- Lotus- High Grip -Orange,50,
Yo-M-L-HG-G,Yoga Mat- Lotus- High Grip -Green,50,
Yo-M-L-HG-P,Yoga Mat-Lotus- High Grip Pink,50,
Yo-M-L-HG-Y,Yoga Mat- Lotus- High Grip Yellow,50,
Yo-M-L-HG-T,Yoga Mat-Lotus- High Grip Teal,50,
Yo-M-P-HG-B,Yoga Mat- High Grip Blue,60,7 Chakras Moderate Grip Yoga Mat
