db_sku,product_name,attrs,slug,variant_id
woo-svar-sound,Svaram sound ships,[],svaram-sound-ships,77dae8a7-7be5-4e69-a35b-c512b76a6913
woo-var-47922,Bendo Shaker,[],bendo-shaker,71500d8a-13a2-4c7e-8496-a3875fa7bf57
woo-var-47923,Bendo Shaker,[],bendo-shaker,5f2d4e06-4ac8-444c-9ebb-48fa1790c6e1
woo-45518,The Head Bowl,[],the-head-bowl,a97c7d34-3859-45f8-a830-b14eff626308
woo-45469,Root Chakra Singing Bowl,[],root-chakra-singing-bowl,374de9b7-4f9d-4d1a-886c-05945bf32be2
woo-var-45117,Hanging Bowls/Zen Drops,[],hanging-bowls-zen-drops,71d67666-bbe5-449e-973a-d25da1cedb5e
woo-var-45118,Hanging Bowls/Zen Drops,[],hanging-bowls-zen-drops,de096c03-6a6c-4343-a08e-c38dc7af6d69
woo-var-45020,Harmonium,[],harmonium,468e9037-f325-43c8-a962-55230acd53da
woo-var-45021,Harmonium,[],harmonium,bd6c4ace-f40d-4d3e-abec-11772bc3ed00
woo-var-47894,Triad Crystal Bowl Set,[],triad-crystal-bowl-set,a526ffde-0cbc-4285-a22a-726c9f8ddd21
woo-var-47895,Triad Crystal Bowl Set,[],triad-crystal-bowl-set,b1ea088d-6388-44f7-98f8-c38100644c59
woo-var-47896,Triad Crystal Bowl Set,[],triad-crystal-bowl-set,220c4edf-39d8-454b-82d8-1170e48c6647
woo-45473,Heart Chakra Singing Bowl,[],heart-chakra-singing-bowl,b870aa4b-b41f-4101-84e9-a535697f2eb2
woo-45334,"The Four Bowl Set - Root, Heart, Third Eye and Universal",[],the-four-bowl-set-root-heart-third-eye-and-universal,0e9b7b94-fee3-4617-bde9-53d4ec6cf866
woo-var-44651,Ocean Drums,[],ocean-drums,f773226c-4aa6-40d7-a3d5-6f8641579fe4
woo-var-44652,Ocean Drums,[],ocean-drums,c8936873-f4b2-4a39-95f6-893b4b5e3ded
woo-var-44653,Ocean Drums,[],ocean-drums,c92812da-be13-4e68-944e-41b6dafe4c9f
woo-var-47825,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",[],vibroacoustic-therapy-bowls-universal-belly-and-head,93c9c1a5-bca7-4a82-adab-706b6e340a21
woo-var-45003,Shruti Box,[],shruti-box,43ef3831-40a1-41cd-b83a-397e2bf1fbf2
woo-var-45004,Shruti Box,[],shruti-box,5d310595-7dcf-4eb6-bfe9-20d0bd67933b
woo-var-45005,Shruti Box,[],shruti-box,3bfb2ba3-4688-44be-a3a8-4d942676cb17
woo-var-45412,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,a8c20c5f-b108-4121-a5a3-098d97a8e0be
woo-var-45413,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,496f3edc-0688-48c3-b82c-8af7d83adc79
woo-var-45414,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,17b52f55-4e90-494e-aaa5-74a117829999
woo-var-45415,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,d452715e-0807-4278-b2f3-f0f89b7a6915
woo-var-45416,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,21144b3c-56e7-4f50-b81a-599e8ca953f9
woo-var-45417,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,20de6d4f-402b-4193-914f-29c9fa5bb158
woo-var-45418,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,3d1afd23-28ff-465e-be4b-12d91df19e80
woo-var-45419,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,1cdb2986-21a6-477e-a438-6c897b31fcda
woo-var-45420,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,666c92f2-1866-4eab-8575-828d75878899
woo-var-45421,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,92069416-fc29-4b81-822b-28a678a0779c
woo-var-45422,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,9713c6d9-9032-4aa8-a78b-8fb6e5140133
woo-var-45423,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,5a7075df-663e-4fc2-8c9e-c574509d53b6
woo-var-45424,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,45204540-4723-4577-84ee-aad92c895430
woo-var-45425,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,15e7fcf4-91ca-463c-905f-762997d737ea
woo-var-9908,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,26eacb5d-7c2c-406a-a731-9aa9add9075a
woo-var-8077,9/10 Notes Handpan Drum - Handcrafted to Precision,[],9-10-notes-handpan-drum-handcrafted-to-precision,3e81b752-acdc-4b7e-a94a-399dd7237f03
woo-var-8078,9/10 Notes Handpan Drum - Handcrafted to Precision,[],9-10-notes-handpan-drum-handcrafted-to-precision,6e9d5444-093c-4f0b-8ca5-cd90974c7a20
woo-var-47882,Box Tanpura,[],box-tanpura,484559bf-10be-4944-acac-5d0f12a1f677
woo-var-47883,Box Tanpura,[],box-tanpura,d8fcc8d8-f844-4481-8129-35509e223e66
woo-var-45038,Djembe Drums,[],djembe-drums,fe44b1f6-1e8e-4d7a-a027-2630f566c1d2
woo-var-45039,Djembe Drums,[],djembe-drums,92636b21-b237-4fb9-ba11-846e4da66699
