db_sku,product_name,attrs,slug,variant_id
MI-OD-D-30,Ocean Drums,[],ocean-drums,0eb543ad-2ca2-4637-8391-8b4665bd44d6
MI-OD-D-35,Ocean Drums,[],ocean-drums,002be618-31b4-4faf-a559-12a052c3e5d0
MI-OD-D-40,Ocean Drums,[],ocean-drums,f1e9ee9d-8f90-400d-967a-6a2fd9824063
MI-SB-HM-UN,Handmade Universal Bowl for Sound Healing,[],handmade-universal-bowl-for-sound-healing,e446846a-ad22-422a-aa47-0285904fd37c
Mi-SB-Z-8,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",[],vibroacoustic-therapy-bowls-universal-belly-and-head,57aea300-e677-4849-ad04-2799aa406736
Mi-SB-Z-10,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",[],vibroacoustic-therapy-bowls-universal-belly-and-head,34d9c756-4ebb-4e1b-be97-0828e7d790f6
Mi-SB-Z-9,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",[],vibroacoustic-therapy-bowls-universal-belly-and-head,c3d1c654-226f-4e86-9781-baf60d59db69
MI-RS-N,Bamboo Rainstick,[],bamboo-rainstick-49779,bb2e4ddf-530f-496d-8ffa-594c3fb37f67
MI-SB-JB,Joint Bowl or Knee Cut Bowl,[],joint-bowl-or-knee-cut-bowl,057743cd-3e56-4d88-aa79-2b06f5397a87
MI-SB-H-ET-B-6,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,727e59f9-586f-48c7-9350-e997aa5ecc45
MI-SB-GE-10,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,c49324af-43ac-46b0-b9c2-2dcd15e05225
MI-SB-GE-11,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,07fc49dc-c5cb-4ef9-824d-7c62f801b8c5
MI-SB-GE-12,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,b7045c3e-087b-4830-bd2a-279d7600743d
MI-SB-GE-6,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,022a2745-4743-4681-b411-0543b2d5bcee
MI-SB-GE-7,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,a38caedc-b743-4268-b4b6-56e0e8076339
MI-SB-GE-8,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,573ceb44-83ad-403a-8308-4260c5846385
MI-SB-GE-9,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,b1f6fdfe-0ab6-43c1-a888-62d5463cdaac
MI-SB-GF-10,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,f1910e54-0065-45db-bb14-807d71cdd53e
MI-SB-GF-11,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,c7044b6d-b068-4f44-90a8-f33564e2511b
MI-SB-GF-12,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,a588ba34-e146-4655-81ce-5027490de8ec
MI-SB-GF-6,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,b3fa7b96-e7a0-4d4b-8dd4-b1408afb6c0b
MI-SB-GF-7,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,ce048911-a49d-476e-ba46-4cb02af9ed52
MI-SB-GF-8,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,ad89a608-7f00-4a65-ae34-20ac338ba836
MI-SB-GF-9,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,f053376c-144d-4316-a7bd-d40708832833
MI-SB-H-ET-B-10,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,7b0c6630-f316-4eaa-839a-405882336086
MI-SB-H-ET-B-11,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,5971b4e3-218e-49d1-be21-31fa46dc4a6f
MI-SB-H-ET-B-12,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,a0272d32-2ea6-4913-9205-720ffca413b6
MI-SB-H-ET-B-7,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,1dd85713-1d83-4192-ad38-b5d66ec8e025
MI-SB-H-ET-B-8,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,d59441d8-8e28-4cbb-880c-a4e0e8215dee
MI-SB-H-ET-B-9,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,cf610281-c614-4600-99b3-3e8fac192aba
MI-SB-H-ET-C-10,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,cbf81fd1-f9be-45c4-9bb2-00748583d8c3
MI-SB-H-ET-C-11,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,9c1c6203-1286-4761-8d41-31d019ed6151
MI-SB-H-ET-C-12,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,d164fa34-07bb-4a3c-ba51-2f9eda058d99
MI-SB-H-ET-C-6,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,285b6cb8-f6d4-4635-a607-19f30800a7be
MI-SB-H-ET-C-7,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,3ae602c2-50a7-4f71-8314-72eca7d52cb5
MI-SB-H-ET-C-8,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,a2b8aa0a-1ca2-408e-ba7c-9b923f15ed75
MI-SB-H-ET-C-9,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,efd2de8a-8aad-4af2-8da3-293ad49b6402
MI-SB-H-ET-DJ-10,Etched Handmade Singing Bowls,[],etched-handmade-singing-bowls,87591cd3-2b90-437c-83f5-27e5338df845
