SKU,Product,Variant,Spreadsheet On Hand,DB On Hand,Drop Shipping File,Old dropShipEnabled,New dropShipEnabled,Match Status,Notes
MI-TD-11N-B-10,11 Note Tongue Drum,Color: Blue · Size: 10 inches,2,0,N,false,false,ALREADY_CORRECT,
MI-TD-11N-B-12,11 Note Tongue Drum,Color: Blue · Size: 12 inches,2,0,N,false,false,ALREADY_CORRECT,
MI-TD-11N-B-6,11 Note Tongue Drum,Color: Blue · Size: 6 inches,0,0,Y,true,true,ALREADY_CORRECT,
MI-TD-11N-B-8,11 Note Tongue Drum,Color: Blue · Size: 8 inches,0,0,Y,true,true,ALREADY_CORRECT,
MI-TD-11N-W-10,11 Note Tongue Drum,Color: White · Size: 10 inches,1,0,N,false,false,ALREADY_CORRECT,
MI-TD-11N-W-8,11 Note Tongue Drum,Color: White · Size: 8 inches,0,0,Y,true,true,ALREADY_CORRECT,
MI-TD-11N-W-12,11 Note Tongue Drum,Size: 12 inches · Color: White,0,0,Y,true,true,ALREADY_CORRECT,
MI-TD-11N-W-6,11 Note Tongue Drum,Size: 6 Inches · Color: White,0,0,Y,true,true,ALREADY_CORRECT,
MI-MO-7C-A,7 Chakra Morchang,Tunes: A Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-B,7 Chakra Morchang,Tunes: B Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-C,7 Chakra Morchang,Tunes: C Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-D,7 Chakra Morchang,Tunes: D Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-E,7 Chakra Morchang,Tunes: E Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-F,7 Chakra Morchang,Tunes: F Tune,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-SET7,7 Chakra Morchang,Tunes: Full Set,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-7C-G,7 Chakra Morchang,Tunes: G Tune,0,0,N,false,false,ALREADY_CORRECT,
CB-7C-H-B,7 Chakras - Copper Bottles with Handle,Cleaning Brush: With Brush · Size: 1L · Type: 7 Chakras Plain,39,39,N,false,false,ALREADY_CORRECT,
CB-7C-V-H-B,7 Chakras - Copper Bottles with Handle,Cleaning Brush: With Brush · Size: 1L · Type: 7 Chakras Vintage,4,4,N,false,false,ALREADY_CORRECT,
CB-7C-H,7 Chakras - Copper Bottles with Handle,Cleaning Brush: Without Brush · Size: 1L · Type: 7 Chakras Plain,39,39,N,false,false,ALREADY_CORRECT,
CB-7C-V-H,7 Chakras - Copper Bottles with Handle,Cleaning Brush: Without Brush · Size: 1L · Type: 7 Chakras Vintage,4,4,N,false,false,ALREADY_CORRECT,
CB-7C-B,7 Chakras - Plain Copper Bottles,Size: 1L · Bottle Type: with-brush,63,63,N,false,false,ALREADY_CORRECT,
CB-7C,7 Chakras - Plain Copper Bottles,Size: 1L · Bottle Type: without-brush,63,63,N,false,false,ALREADY_CORRECT,
CB-7C-B-.5,7 Chakras - Plain Copper Bottles,Size: 500ml · Bottle Type: with-brush,43,43,N,false,false,ALREADY_CORRECT,
CB-7C-.5,7 Chakras - Plain Copper Bottles,Size: 500ml · Bottle Type: without-brush,43,43,N,false,false,ALREADY_CORRECT,
CB-7C-V-B,7 Chakras - Vintage Copper Bottles,Bottle Type: with-brush · Size: 1L,104,104,N,false,false,ALREADY_CORRECT,
CB-7C-V-B-.5,7 Chakras - Vintage Copper Bottles,Bottle Type: with-brush · Size: 500ml,39,39,N,false,false,ALREADY_CORRECT,
CB-7C-V,7 Chakras - Vintage Copper Bottles,Bottle Type: without-brush · Size: 1L,104,104,N,false,false,ALREADY_CORRECT,
CB-7C-V-.5,7 Chakras - Vintage Copper Bottles,Bottle Type: without-brush · Size: 500ml,39,39,N,false,false,ALREADY_CORRECT,
IS-7C-SET,7 Chakras Mystical Incense Sticks Set,Type: 7 Chakra Set,100,100,N,false,false,ALREADY_CORRECT,
IS-7C-SET-S,7 Chakras Mystical Incense Sticks Set,Type: 7 Chakra Set with Stand,100,100,N,false,false,ALREADY_CORRECT,
IS-CT,7 Chakras Mystical Incense Sticks Set,Type: Pure Citronella,200,200,N,false,false,ALREADY_CORRECT,
IS-EU,7 Chakras Mystical Incense Sticks Set,Type: Pure Eucalyptus,200,200,N,false,false,ALREADY_CORRECT,
IS-FI,7 Chakras Mystical Incense Sticks Set,Type: Pure Frankincense,200,200,N,false,false,ALREADY_CORRECT,
IS-LV,7 Chakras Mystical Incense Sticks Set,Type: Pure Lavender,200,200,N,false,false,ALREADY_CORRECT,
IS-MU,7 Chakras Mystical Incense Sticks Set,Type: Pure Musk,200,200,N,false,false,ALREADY_CORRECT,
IS-R,7 Chakras Mystical Incense Sticks Set,Type: Pure Rose,200,200,N,false,false,ALREADY_CORRECT,
IS-SW,7 Chakras Mystical Incense Sticks Set,Type: Pure Sandalwood,200,200,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-M-O,7 Chakras Yoga Mats,Color: Orange · Grip: Moderate,9,9,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-S-O,7 Chakras Yoga Mats,Color: Orange · Grip: Superior,0,0,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-M-P,7 Chakras Yoga Mats,Color: Pink · Grip: Moderate,9,9,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-S-P,7 Chakras Yoga Mats,Color: Pink · Grip: Superior,0,0,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-S-T,7 Chakras Yoga Mats,Color: Teal · Grip: Superior,0,0,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-S-Y,7 Chakras Yoga Mats,Color: Yellow · Grip: Superior,0,0,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-M-B,7 Chakras Yoga Mats,Grip: Moderate · Color: Blue,2,2,N,false,false,ALREADY_CORRECT,
YO-M-CT-7C-M-G,7 Chakras Yoga Mats,Grip: Moderate · Color: Green,12,12,N,false,false,ALREADY_CORRECT,
MI-KK-8,8 Key Kalimba,Default,4,100,N,false,false,ALREADY_CORRECT,
MI-XY-MT-8-1,8 Keys Metallophone,Keywidth: 1 inch,4,0,N,false,false,ALREADY_CORRECT,
MI-XY-MT-8-1.5,8 Keys Metallophone,Keywidth: 1.5 inch,6,2,N,false,false,ALREADY_CORRECT,
MI-TF-AG-4096,Angel Tuning Forks,Hertz: 4096 Hz,0,0,N,false,false,ALREADY_CORRECT,
MI-TF-AG-4160,Angel Tuning Forks,Hertz: 4160 Hz,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-AG-4225,Angel Tuning Forks,Hertz: 4225 Hz,0,0,Y,true,true,ALREADY_CORRECT,
MI-AH-L,Ankh,Size: Large,0,0,Y,true,true,ALREADY_CORRECT,
MI-AH-M,Ankh,Size: Medium,0,0,Y,true,true,ALREADY_CORRECT,
MI-AH,Ankh,Size: Small,0,0,Y,true,true,ALREADY_CORRECT,
MI-SK-AP,Annapurna Shankh,Type: Annapurna,0,0,N,false,false,ALREADY_CORRECT,
MI-AS-P-2,Asalato / Kashaka Shaker,Type: Painted · Size: Pair,0,0,N,false,false,ALREADY_CORRECT,
MI-AS-P,Asalato / Kashaka Shaker,Type: Painted · Size: Single,0,0,N,false,false,ALREADY_CORRECT,
MI-AS-2,Asalato / Kashaka Shaker,Type: Plain · Size: Pair,5,5,N,false,false,ALREADY_CORRECT,
MI-AS,Asalato / Kashaka Shaker,Type: Plain · Size: Single,11,11,N,false,false,ALREADY_CORRECT,
CB-BJ,Ayurvedic Copper Bedroom Jar,Variant: Standard,38,38,N,false,false,ALREADY_CORRECT,
MI-CN,Bamboo Castanet,Variant: Standard,0,0,N,false,false,ALREADY_CORRECT,
MI-RS-W-80,Bamboo Rainstick Wide-80cm,Type: Wide 80cm,40,20,N,false,false,ALREADY_CORRECT,
MI-BC-25,Bar Chime - 25 Rods,Default,2,0,N,false,false,ALREADY_CORRECT,
MI-SB-BB,Belly Bowls,Variant: Standard,4,4,N,false,false,ALREADY_CORRECT,
MI-BE-CH,Bendo Chimes,Variant: Standard,7,7,N,false,false,ALREADY_CORRECT,
MI-BE-L,Bendo Shaker,Size: Large,2,8,N,false,false,ALREADY_CORRECT,
MI-BE-S,Bendo Shaker,Size: Small,23,23,N,false,false,ALREADY_CORRECT,
