test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
BASE-001,BASE,BASE-001,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-002,BASE,BASE-002,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-003,BASE,BASE-003,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-004,BASE,BASE-004,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-005,BASE,BASE-005,LIVE+AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Backend /health=200 on Lightsail; /api/health=404 (no route). Demo proxy only covers /api/* so /health via demo=404.,,,,Backend /health=200 on Lightsail; /api/health=404 (no route). Demo proxy only covers /api/* so /health via demo=404.
BASE-006,BASE,BASE-006,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-007,BASE,BASE-007,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-008,BASE,BASE-008,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-009,BASE,BASE-009,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-010,BASE,BASE-010,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-011,BASE,BASE-011,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-012,BASE,BASE-012,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-013,BASE,BASE-013,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-014,BASE,BASE-014,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
