test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
INV-001,INV,INV-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-002,INV,INV-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-003,INV,INV-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-004,INV,INV-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-005,INV,INV-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-006,INV,INV-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-007,INV,INV-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-008,INV,INV-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-009,INV,INV-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-010,INV,INV-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-011,INV,INV-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-012,INV,INV-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-013,INV,INV-013,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-014,INV,INV-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-015,INV,INV-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-016,INV,INV-016,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
INV-017,INV,INV-017,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
INV-018,INV,INV-018,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
INV-019,INV,INV-019,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
INV-020,INV,INV-020,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
DS-001,DS,DS-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-002,DS,DS-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-003,DS,DS-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-004,DS,DS-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-005,DS,DS-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
