test_id,status,notes
MAN-001,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-002,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-003,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-004,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-005,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-006,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-007,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-008,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-009,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-010,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-011,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-012,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-013,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-014,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-015,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-016,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-017,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-018,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-019,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-020,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-021,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
MAN-022,NOT_RUN,Mandatory human UAT — do not mark PASS without live evidence
