test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
MER-001,MER,MER-001,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-002,MER,MER-002,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-003,MER,MER-003,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-004,MER,MER-004,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-005,MER,MER-005,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-006,MER,MER-006,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-007,MER,MER-007,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-008,MER,MER-008,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-009,MER,MER-009,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-010,MER,MER-010,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-011,MER,MER-011,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-012,MER,MER-012,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-013,MER,MER-013,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-014,MER,MER-014,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-015,MER,MER-015,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-016,MER,MER-016,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-017,MER,MER-017,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-018,MER,MER-018,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-019,MER,MER-019,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-020,MER,MER-020,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-021,MER,MER-021,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-022,MER,MER-022,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,"Live feed 773 items, 0 dupes; commerce merchant tests",,,YES,"Live feed 773 items, 0 dupes; commerce merchant tests"
MER-023,MER,MER-023,MANUAL,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Source 3 Merchant Center diagnostics require Google UI,,,,Source 3 Merchant Center diagnostics require Google UI
