test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
FULL-001,FULL,FULL-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-002,FULL,FULL-002,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
FULL-003,FULL,FULL-003,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
FULL-004,FULL,FULL-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-005,FULL,FULL-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-006,FULL,FULL-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-007,FULL,FULL-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-008,FULL,FULL-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-009,FULL,FULL-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-010,FULL,FULL-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-011,FULL,FULL-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-012,FULL,FULL-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-013,FULL,FULL-013,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-014,FULL,FULL-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-015,FULL,FULL-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
FULL-016,FULL,FULL-016,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PART-001,PART,PART-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-002,PART,PART-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-003,PART,PART-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-004,PART,PART-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-005,PART,PART-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-006,PART,PART-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-007,PART,PART-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-008,PART,PART-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-009,PART,PART-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-010,PART,PART-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-011,PART,PART-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-012,PART,PART-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-013,PART,PART-013,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-014,PART,PART-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-015,PART,PART-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-016,PART,PART-016,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-017,PART,PART-017,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
PART-018,PART,PART-018,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,YES,Covered by automated suite / live check this certification
