g_id,sku,expected_variant_id,outcome,review_reasons,variant_id,product_id,product_slug,product_status,catalog_hidden,variant_status,current_sku,drop_ship_enabled,sale_in_paise,mrp_in_paise,on_hand,reserved,woo_variation_id,ctx_woo_offer_id,ctx_classification,ctx_sarveda_variant_id,duplicate_active_sku,duplicate_active_merchant_id
42411,MI-TD-11N-W-12,fbcec161-3edc-463a-a7d9-2dd107e4d3ce,ALREADY_ACTIVE,,fbcec161-3edc-463a-a7d9-2dd107e4d3ce,a02f5aeb-5f67-431f-8d9e-19d7a5c01173,11-note-tongue-drum,ACTIVE,false,ACTIVE,MI-TD-11N-W-12,true,855000,957600,0,0,42411,42411,PUBLISH,fbcec161-3edc-463a-a7d9-2dd107e4d3ce,false,false
42412,MI-TD-11N-W-6,160130ae-ad7a-4539-9eba-beb394c75f0a,ALREADY_ACTIVE,,160130ae-ad7a-4539-9eba-beb394c75f0a,a02f5aeb-5f67-431f-8d9e-19d7a5c01173,11-note-tongue-drum,ACTIVE,false,ACTIVE,MI-TD-11N-W-6,true,585000,685000,0,0,42412,42412,PUBLISH,160130ae-ad7a-4539-9eba-beb394c75f0a,false,false
46192,YO-M-CT-L-M-G,a7120de4-4ec8-4819-a77b-993ff644ba55,ALREADY_ACTIVE,,a7120de4-4ec8-4819-a77b-993ff644ba55,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-M-G,false,149000,166880,1,0,46192,46192,PUBLISH,a7120de4-4ec8-4819-a77b-993ff644ba55,false,false
46194,YO-M-CT-L-M-B,52c95117-e3cf-4e13-a90e-47b95943c4a3,ALREADY_ACTIVE,,52c95117-e3cf-4e13-a90e-47b95943c4a3,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-M-B,false,149000,166880,7,0,46194,46194,PUBLISH,52c95117-e3cf-4e13-a90e-47b95943c4a3,false,false
46195,YO-M-CT-L-M-P,80562e2f-6fc2-421b-baaa-7b97bb1d26b6,ALREADY_ACTIVE,,80562e2f-6fc2-421b-baaa-7b97bb1d26b6,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-M-P,false,179000,245000,9,0,46195,46195,PUBLISH,80562e2f-6fc2-421b-baaa-7b97bb1d26b6,false,false
46196,YO-M-CT-L-S-T,858c8391-cd5c-4dbd-b775-bda237337067,ALREADY_ACTIVE,,858c8391-cd5c-4dbd-b775-bda237337067,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-S-T,false,199000,275000,0,0,46196,46196,PUBLISH,858c8391-cd5c-4dbd-b775-bda237337067,false,false
46197,YO-M-CT-L-S-O,307c95a3-7951-4bb9-8057-7bd7def34cb8,ALREADY_ACTIVE,,307c95a3-7951-4bb9-8057-7bd7def34cb8,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-S-O,false,199000,275000,0,0,46197,46197,PUBLISH,307c95a3-7951-4bb9-8057-7bd7def34cb8,false,false
46198,YO-M-CT-L-S-Y,26cd9417-ae90-40bf-9b59-434c5567d7b2,ALREADY_ACTIVE,,26cd9417-ae90-40bf-9b59-434c5567d7b2,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-S-Y,false,199000,275000,0,0,46198,46198,PUBLISH,26cd9417-ae90-40bf-9b59-434c5567d7b2,false,false
46199,YO-M-CT-L-S-P,d6e6c0b6-04e5-49ef-8ecc-05bedfc89fe4,ALREADY_ACTIVE,,d6e6c0b6-04e5-49ef-8ecc-05bedfc89fe4,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,ACTIVE,false,ACTIVE,YO-M-CT-L-S-P,false,199000,275000,0,0,46199,46199,PUBLISH,d6e6c0b6-04e5-49ef-8ecc-05bedfc89fe4,false,false
48210,MI-TF-AG-4160,56bff370-b421-4548-8b88-76609d19e907,ALREADY_ACTIVE,,56bff370-b421-4548-8b88-76609d19e907,0a48d434-59cd-4e39-9221-811bd7746413,angel-tuning-forks,ACTIVE,false,ACTIVE,MI-TF-AG-4160,true,255000,300000,0,0,48210,48210,PUBLISH,56bff370-b421-4548-8b88-76609d19e907,false,false
48211,MI-TF-AG-4225,1ea051da-a3cb-4e85-a72c-c527a0812b40,ALREADY_ACTIVE,,1ea051da-a3cb-4e85-a72c-c527a0812b40,0a48d434-59cd-4e39-9221-811bd7746413,angel-tuning-forks,ACTIVE,false,ACTIVE,MI-TF-AG-4225,true,275000,325000,0,0,48211,48211,PUBLISH,1ea051da-a3cb-4e85-a72c-c527a0812b40,false,false
7185,ME-Z-Zn-DG,bcbefd3f-b221-476a-8f4c-bdcfd7fcc969,ALREADY_ACTIVE,,bcbefd3f-b221-476a-8f4c-bdcfd7fcc969,0ed2725d-00bd-4ed9-b0b0-4699602434ae,zafu-zabuton-combo-plain,ACTIVE,false,ACTIVE,ME-Z-Zn-DG,false,279500,329500,0,0,7185,7185,PUBLISH,bcbefd3f-b221-476a-8f4c-bdcfd7fcc969,false,false
9314,ME-Z-Zn-EM-L-MB,dac965f3-44e9-409b-b660-f0cebaf7b6fa,ALREADY_ACTIVE,,dac965f3-44e9-409b-b660-f0cebaf7b6fa,1f27d24c-5458-4d53-8dde-487a0d3f1a5a,zafu-zabuton-combo-lotus-embroidery,ACTIVE,false,ACTIVE,ME-Z-Zn-EM-L-MB,false,359000,402080,0,0,9314,9314,PUBLISH,dac965f3-44e9-409b-b660-f0cebaf7b6fa,false,false
